CASE;SERIAL;REF;QUESTNNR;MODE;R001_01;R001_02;R001_03;R001_04;R001_05;R001_06;R001_07;R001_08;R001_09;R001_10;R001_11;R001_12;R002_01;R002_02;R002_03;R002_04;R002_05;R002_06;R002_07;R002_08;R002_09;R002_10;R002_11;R002_12;R003_01;R003_02;R003_03;R003_04;R003_05;R003_06;R003_07;R003_08;R003_09;R003_10;R003_11;R003_12;R004_01;R004_02;R004_03;R004_04;R004_05;R004_06;R004_07;R004_08;R004_09;R004_10;R004_11;R004_12;R005_01;R005_02;R005_03;R005_04;R005_05;R005_06;R005_07;R005_08;R005_09;R005_10;R005_11;R005_12;R006_01;R006_02;R006_03;R006_04;R006_05;R006_06;R006_07;R006_08;R006_09;R006_10;R006_11;R006_12;R007_01;R007_02;R007_03;R007_04;R007_05;R007_06;R007_07;R007_08;R007_09;R007_10;R007_11;R007_12;R008_01;R008_02;R008_03;R008_04;R008_05;R008_06;R008_07;R008_08;R008_09;R008_10;R008_11;R008_12;CO01;CO02;DE02;TIME001;TIME002;TIME003;TIME004;TIME005;TIME006;TIME007;TIME008;TIME009;TIME010;TIME011;TIME012;TIME_SUM;MAILSENT;FINISHED;LASTPAGE;MAXPAGE;MISSING;MISSREL;DEG_MISS;DEG_TIME;DEGRADE;jctr_warmth;jctr_comp;jhol_warmth;jhol_comp;cctr_warmth;cctr_comp;chol_warmth;chol_comp;age_groups
124; ; ;as_rcic2;interview;3;3;4;3;4;4;4;3;3;3;4;4;5;4;5;4;4;3;5;5;5;3;5;4;4;3;4;4;4;4;4;4;3;3;4;3;1;2;2;1;2;3;3;3;5;3;2;2;5;4;5;4;4;4;4;4;5;3;5;4;3;2;3;3;2;4;4;4;5;3;3;3;4;3;4;3;4;5;3;4;4;3;4;3;3;2;2;3;3;3;4;5;4;3;3;2;2;1;2;7;25;36;25;26;27;18;24;22;25;19;17;271; ;1;12;12;0;0;0;7;7;4,5;4,25;2,75;4,25;3,5;4;2,5;4;2
129; ; ;as_rcic2;interview;4;4;4;4;4;3;4;3;3;4;4;4;4;3;4;4;4;4;4;4;3;4;3;4;3;3;3;2;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;4;4;5;3;4;3;4;3;3;4;3;4;3;3;3;3;4;3;3;3;4;3;3;4;4;4;3;3;4;3;4;3;3;3;3;3;3;2;3;3;3;3;4;3;3;3;3;3;2;1;2;61;37;50;42;39;42;39;44;628;24;42;30;422; ;1;12;12;0;0;0;0;0;4;3,25;3;3,25;3,5;3,25;2,75;3,25;2
132; ; ;as_rcic2;interview;5;4;5;5;5;4;4;4;5;3;5;5;3;3;3;3;3;3;3;2;4;2;3;4;3;3;3;4;3;4;4;3;4;4;3;3;1;1;1;2;1;3;3;2;2;2;1;1;4;4;4;4;3;3;3;4;3;3;4;4;4;3;3;3;3;4;3;3;3;3;3;3;4;3;4;4;5;5;5;5;5;3;3;5;1;1;1;1;1;3;2;3;2;1;1;1;2;1;1;26;48;46;28;28;31;27;31;27;29;45;13;379; ;1;12;12;0;0;0;2;2;4;3,25;3,25;3,25;3,75;5;1;2,5;2
136; ; ;as_rcic2;interview;3;3;3;3;3;3;3;3;4;3;3;4;2;3;3;3;2;4;3;3;4;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;2;3;3;3;3;4;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;4;3;2;3;3;3;4;3;3;4;3;3;3;2;1;2;2;11;15;14;30;57;8;20;12;29;7;6;211; ;1;12;12;0;0;0;59;59;3,5;3;3;3,25;2,75;3;2,75;3,5;2
148; ; ;as_rcic2;interview;5;4;4;5;4;3;4;4;4;5;4;5;3;2;4;3;3;4;3;4;2;3;3;4;3;3;4;4;4;4;4;5;5;4;4;4;1;2;2;3;2;4;5;4;4;5;2;3;5;5;4;5;5;5;4;4;5;5;5;5;3;4;3;3;3;3;4;3;3;4;4;4;4;4;4;5;4;4;5;5;5;4;5;5;2;2;2;1;2;3;3;3;2;3;2;1;2;1;2;5;11;31;31;20;19;27;20;16;24;18;20;242; ;1;12;12;0;0;0;15;15;4,75;4,5;3,25;3,25;4,25;4,75;1,75;2,75;2
149; ; ;as_rcic2;interview;4;5;5;5;4;4;5;5;5;5;5;4;3;2;2;3;2;5;4;5;3;3;3;4;3;2;4;3;4;3;2;2;1;4;4;2;2;1;1;2;2;3;2;5;4;2;2;2;4;5;4;4;5;4;2;2;2;4;5;4;1;3;2;2;2;1;3;2;1;1;2;2;2;3;4;2;3;1;4;2;2;2;2;5;3;4;4;3;4;1;3;2;2;3;3;4;2;1;1;12;21;35;26;48;32;34;38;41;60;20;20;387; ;1;12;12;0;0;0;1;1;4,25;2,5;2;1,75;2,75;2,25;3,5;2;1
156; ; ;as_rcic2;interview;2;4;3;2;4;4;3;4;4;4;4;3;3;2;4;2;4;4;4;4;4;3;4;2;4;2;2;3;2;4;3;4;4;4;3;2;4;2;3;2;4;4;4;4;4;4;4;4;3;2;3;2;3;4;4;4;4;4;3;3;2;4;4;3;2;4;4;4;4;4;4;4;4;3;4;2;2;4;4;4;4;4;4;2;2;2;2;3;4;4;5;5;5;5;4;2;2;1;1;9;25;40;43;34;25;36;20;30;26;12;8;308; ;1;12;12;0;0;0;10;10;2,5;4;3,25;4;3,25;4;2,25;4,75;3
172; ; ;as_rcic2;interview;2;3;3;3;4;3;3;4;4;3;3;2;4;4;5;5;5;4;4;2;2;4;5;4;2;2;2;3;4;4;4;5;4;1;2;3;1;1;1;2;1;1;1;5;3;3;1;1;1;2;2;1;1;5;4;3;5;3;1;1;1;2;2;2;4;3;4;4;1;2;5;1;2;3;1;2;1;5;4;5;5;4;1;3;4;2;4;3;4;4;3;4;4;2;4;4;2;1;1;25;15;36;22;36;38;56;53;18;29;25;11;364; ;1;12;12;0;0;0;6;6;1,5;4,25;1,75;3;2;4,75;3,25;3,75;1
173; ; ;as_rcic2;interview;4;4;4;4;5;4;5;4;5;4;5;4;4;5;4;4;4;4;4;4;5;4;4;4;4;4;5;4;4;4;4;4;5;3;4;4;2;1;1;3;1;2;2;1;2;2;1;2;5;5;5;5;4;4;4;5;5;4;5;4;3;2;4;4;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;4;3;2;4;3;2;3;4;1;3;3;2;2;2;2;4;2;1;1;15;38;36;23;21;23;25;21;21;18;21;26;288; ;1;12;12;0;0;0;8;8;5;4,5;3,25;3;3;3,25;3;2,5;2
181; ; ;as_rcic2;interview;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;1;1;15;3;37;13;165;13;21;22;14;15;13;9;203; ;1;12;12;0;0;0;48;48;5;5;5;5;5;5;5;5;1
187; ; ;as_rcic2;interview;3;2;3;3;4;3;3;3;4;3;3;3;3;2;4;3;4;3;3;4;4;4;3;4;3;3;3;3;4;4;3;4;2;3;4;3;2;3;3;3;3;4;3;4;3;2;3;3;4;3;3;2;4;3;3;3;4;3;4;3;4;3;4;3;4;4;3;3;2;4;3;3;3;3;3;2;3;2;2;3;4;2;2;2;4;4;3;4;4;3;4;3;4;3;4;3;2;1;1;4;10;13;10;12;11;10;9;11;8;16;13;127; ;1;12;12;0;0;0;70;70;3;3,25;3,5;3;2,75;2,75;3,75;3,5;1
190; ; ;as_rcic2;interview;3;4;4;3;4;3;3;3;3;3;4;4;3;3;3;3;3;4;4;4;4;3;3;3;4;4;4;4;4;4;4;4;4;3;4;3;3;3;3;3;3;4;4;4;4;3;3;3;4;4;3;4;4;4;4;3;4;3;4;4;3;4;4;4;4;4;4;3;4;3;4;4;3;4;4;4;3;4;4;4;4;3;4;4;3;3;3;3;3;4;4;3;4;3;3;3;2;1;2;28;15;26;16;18;24;19;21;17;18;39;12;253; ;1;12;12;0;0;0;18;18;3,75;3,75;3,75;3,75;3,75;4;3;3,75;3
195; ; ;as_rcic2;interview;2;3;4;4;5;3;4;2;4;2;3;4;2;2;5;2;3;4;4;4;5;2;4;5;4;4;5;5;4;5;5;4;4;5;5;5;4;4;4;3;4;3;4;3;2;2;4;1;4;4;4;3;3;4;4;2;3;4;3;4;2;4;2;3;3;3;4;3;2;4;4;3;2;1;2;4;2;1;4;5;4;1;1;2;3;4;3;2;2;3;4;5;4;4;2;1;2;1;2;5;28;34;26;21;16;23;24;17;16;23;15;248; ;1;12;12;0;0;0;15;15;3,75;3,25;2,75;3;2,25;3,5;3;4;2
200; ; ;as_rcic2;interview;3;3;3;3;3;3;3;3;2;3;3;3;2;2;2;2;2;3;3;3;4;3;3;3;3;3;3;3;3;4;3;4;4;4;3;3;2;2;2;2;2;3;2;4;3;3;2;2;3;3;4;3;3;3;3;3;3;3;3;3;2;2;2;2;2;3;2;4;2;3;2;2;2;2;2;2;2;3;2;4;3;3;2;2;2;2;2;2;2;3;2;4;3;3;2;2;2;1;1;33;25;53;35;74;45;42;39;42;33;25;18;418; ;1;12;12;0;0;0;0;0;3,25;3;2;2,75;2;3;2;3;3
201; ; ;as_rcic2;interview;2;2;4;2;3;3;3;3;4;3;3;4;3;2;4;2;2;4;3;4;2;3;3;4;3;3;4;3;3;3;3;4;4;3;3;3;2;2;3;2;2;3;3;3;4;1;2;3;3;2;4;2;2;3;3;3;4;4;4;4;2;3;4;2;3;3;3;2;4;2;3;4;2;1;-9;1;2;3;3;4;4;3;2;3;2;1;2;3;1;2;2;1;2;2;3;1;2;1;1;32;18;50;49;43;57;50;47;51;39;32;33;501; ;1;12;12;1;1;20;0;20;2,75;3,25;2,75;3;1,33333333333333;3,5;2;1,75;3
205; ; ;as_rcic2;interview;4;4;4;4;3;3;4;4;3;4;3;4;3;3;3;2;2;3;3;3;2;3;3;2;4;3;4;4;3;3;3;4;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;4;4;4;3;4;4;4;4;4;3;3;2;2;2;2;2;3;2;3;2;2;2;2;4;3;4;3;4;4;3;4;4;4;3;4;3;3;2;3;2;3;3;3;3;3;2;2;2;1;1;34;22;61;50;51;44;35;37;35;37;66;30;458; ;1;12;12;0;0;0;0;0;3,75;4;2;2,5;3,5;3,75;2,75;3;3
214; ; ;as_rcic2;interview;4;4;4;4;4;3;4;4;3;4;4;4;3;4;4;3;3;4;3;4;4;4;3;2;3;3;3;3;3;3;4;5;4;4;3;4;4;3;3;3;3;4;4;4;4;3;3;5;3;4;4;3;3;3;3;4;4;3;4;4;3;3;4;4;3;4;4;4;4;3;3;5;4;4;3;3;5;4;4;5;5;3;3;4;3;2;4;3;3;4;4;3;3;3;4;5;2;1;2;19;20;44;27;30;156;63;23;44;35;17;13;363; ;1;12;12;0;0;0;4;4;3,5;3,5;3,5;4;3,5;4,5;3;3,5;1
218; ; ;as_rcic2;interview;3;3;4;4;3;4;4;5;4;4;3;3;5;4;5;4;4;4;5;4;5;4;4;4;3;3;3;2;2;4;3;3;4;3;3;4;3;2;2;3;2;3;2;4;3;3;2;3;3;3;4;3;3;2;2;2;2;2;3;3;5;4;4;3;3;5;4;4;4;4;4;4;3;3;4;4;4;3;3;3;4;3;3;4;2;3;2;2;3;2;4;3;3;2;2;4;2;1;2;5;27;50;35;46;41;35;35;39;33;15;24;385; ;1;12;12;0;0;0;4;4;3,25;2;4;4,25;3,5;3,25;2,25;3;3
220; ; ;as_rcic2;interview;5;4;4;4;5;4;5;-9;4;4;4;5;3;3;3;3;-9;3;-9;3;3;3;3;3;3;4;4;4;4;4;3;3;4;3;3;3;3;4;3;4;3;-9;4;4;3;4;-9;4;4;4;4;3;3;4;-9;3;4;3;4;4;3;3;3;2;3;2;2;2;2;3;-9;4;4;4;4;4;4;4;4;4;4;4;5;4;3;4;4;4;4;4;4;-9;4;4;4;4;2;1;2;10;43;53;36;49;32;29;36;28;25;49;24;414; ;1;12;12;8;8;159;0;159;3,75;3,66666666666667;2,75;2;4;4;3,75;4;3
223; ; ;as_rcic2;interview;5;4;5;4;4;4;4;4;4;4;4;3;5;4;4;4;5;4;5;4;4;3;5;4;4;3;4;4;4;4;4;4;3;2;4;4;3;2;2;-9;2;3;-9;3;3;2;3;3;3;3;4;3;4;4;3;3;3;4;4;4;4;3;4;4;4;-9;4;-9;3;3;4;4;3;2;3;3;3;3;3;4;3;2;3;4;3;1;2;3;2;3;3;4;2;2;3;2;2;1;1;9;11;20;43;35;27;42;32;26;47;29;19;340; ;1;12;12;4;4;79;7;86;3,25;3,25;3,75;3,5;2,75;3,25;2,25;3;2
224; ; ;as_rcic2;interview;4;3;4;3;3;4;4;4;4;4;4;5;4;4;4;4;4;4;5;5;4;3;4;3;4;4;2;3;3;3;3;2;4;3;5;3;2;3;2;3;2;3;3;2;2;3;3;2;4;3;3;3;3;2;4;2;4;3;3;4;4;3;4;4;4;4;5;4;3;3;4;4;4;2;3;2;4;3;3;3;3;4;4;3;2;2;2;1;2;3;2;4;2;3;2;2;2;1;2;3;15;44;24;24;20;29;23;21;21;21;388;261; ;1;12;12;0;0;0;14;14;3,25;3;3,75;4;2,75;3;1,75;2,75;1
232; ; ;as_rcic2;interview;3;2;4;4;4;3;4;3;5;4;4;5;4;4;4;4;4;5;4;3;4;4;3;5;4;5;5;4;4;3;4;4;4;4;3;3;3;2;2;2;1;3;4;2;4;2;3;3;4;3;3;4;4;3;2;4;3;4;4;3;-9;4;4;3;3;4;3;5;3;3;4;4;4;3;4;4;4;4;3;4;3;3;3;4;2;1;3;3;3;3;3;3;2;2;3;2;2;1;2;21;29;18;21;15;17;29;18;20;18;14;17;237; ;1;12;12;1;1;20;20;40;3,5;3;3,66666666666667;3,75;3,75;3,5;2,25;2,75;3
234; ; ;as_rcic2;interview;3;4;4;3;3;3;3;3;4;3;3;4;3;2;3;3;3;4;4;3;4;2;-9;5;3;3;3;3;3;4;3;3;4;3;4;4;4;3;3;3;3;4;3;3;3;3;4;4;3;4;4;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;4;4;3;2;3;3;3;4;4;3;4;3;3;4;3;2;2;2;3;3;3;3;3;3;3;4;2;1;1;12;30;51;46;48;38;36;41;30;40;18;25;415; ;1;12;12;1;1;20;1;21;3,5;3;3,25;3;2,75;3,75;2,25;3;3
238; ; ;as_rcic2;interview;1;1;1;2;1;1;1;1;1;1;1;1;3;3;4;3;3;4;2;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;3;3;3;3;3;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;6;17;24;22;24;19;18;43;108;42;30;24;294; ;1;12;12;0;0;0;11;11;1;1;3;3;1;1;1;1;2
243; ; ;as_rcic2;interview;4;4;4;4;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;4;2;3;2;3;2;4;4;4;4;3;3;4;2;2;2;2;2;3;3;3;4;3;2;4;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;3;4;4;4;4;4;4;3;3;2;2;2;4;3;4;4;3;3;4;3;2;3;3;3;3;3;4;4;2;3;4;2;1;1;19;28;31;36;36;32;37;41;31;35;30;11;367; ;1;12;12;0;0;0;3;3;3;3;4;3,75;2,5;3,75;2,75;3,5;2
253; ; ;as_rcic2;interview;4;4;3;3;4;3;3;3;4;3;2;3;3;2;2;4;3;3;3;4;4;2;2;2;3;2;3;2;2;4;3;3;4;2;3;3;2;2;2;3;2;3;3;3;3;2;2;3;3;2;3;2;3;4;4;3;3;2;3;4;3;3;2;2;2;4;2;4;4;4;1;3;2;1;3;2;2;4;4;3;4;4;2;2;1;1;2;1;1;2;2;3;2;3;1;2;2;1;2;5;22;38;35;33;32;38;34;25;37;28;7;334; ;1;12;12;0;0;0;8;8;2,5;3,5;2,5;3,5;2;3,75;1,25;2,25;1
254; ; ;as_rcic2;interview;4;4;4;4;3;3;3;4;4;3;3;4;3;3;3;3;3;4;4;4;3;3;3;4;5;3;4;4;3;4;3;3;4;3;4;4;1;1;2;1;1;3;4;3;4;3;2;2;4;4;5;4;4;4;4;3;5;3;4;5;2;3;2;2;2;3;3;3;3;3;2;2;3;3;3;3;3;4;4;4;5;3;5;3;3;3;2;2;3;3;3;3;3;3;2;2;2;1;1;12;66;120;53;53;50;48;59;41;43;70;72;452; ;1;12;12;0;0;0;0;0;4,25;4;2,25;3;3;4,25;2,5;3;2
256; ; ;as_rcic2;interview;2;5;3;4;3;2;3;4;4;2;3;3;3;5;2;2;3;3;4;3;4;2;3;2;3;4;3;2;3;2;4;4;4;1;3;2;2;2;2;1;2;1;3;5;5;1;2;2;3;3;4;4;4;3;4;4;3;2;4;4;4;5;4;4;4;5;3;4;3;4;4;4;3;4;4;3;3;2;4;4;4;2;3;3;2;1;2;1;2;3;3;4;5;1;2;2;2;1;1;6;11;24;19;16;19;18;25;18;17;13;11;197; ;1;12;12;0;0;0;26;26;3,5;3,5;4,25;3,75;3,5;3,5;1,5;3,75;1
264; ; ;as_rcic2;interview;2;2;2;2;2;4;3;4;3;4;3;2;3;4;3;4;4;4;4;4;4;4;4;4;2;3;3;2;3;4;3;3;3;4;2;3;3;3;3;3;3;4;4;3;3;3;4;3;2;3;2;2;2;4;3;2;2;4;2;2;2;2;2;2;2;4;4;4;2;4;2;2;2;2;2;2;2;4;3;4;2;4;2;1;3;3;3;3;3;4;3;4;3;4;3;3;2;1;2;4;37;49;36;64;32;30;35;31;26;22;28;394; ;1;12;12;0;0;0;4;4;2,25;2,75;2;3,5;2;3,25;3;3,5;3
265; ; ;as_rcic2;interview;3;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;4;3;3;2;3;4;2;3;3;3;4;4;3;4;3;3;4;3;2;2;2;3;4;3;4;4;3;4;3;3;3;4;3;4;4;4;3;4;3;4;4;2;2;2;3;2;-9;3;3;4;3;3;2;3;3;3;3;3;4;3;3;4;3;3;4;3;3;3;3;3;4;3;3;3;3;3;4;2;1;1;19;26;49;34;66;56;45;46;39;30;24;61;450; ;1;12;12;1;1;20;0;20;3,25;3,75;2,25;3,33333333333333;3;3,5;3;3,25;3
271; ; ;as_rcic2;interview;3;3;3;2;2;4;3;4;4;2;2;4;4;3;4;2;3;3;3;4;4;4;3;4;2;2;3;2;2;4;2;3;5;4;2;5;3;2;2;2;2;3;5;4;4;1;2;3;4;4;4;4;4;4;3;3;4;5;3;4;2;3;3;3;3;4;4;4;3;3;2;3;3;4;3;2;4;3;4;4;2;3;4;4;2;2;4;3;3;3;3;4;4;2;3;4;2;1;1;32;16;43;48;48;50;46;38;43;36;22;34;456; ;1;12;12;0;0;0;1;1;4;3,5;2,75;3,75;3;3,25;2,75;3,5;2
273; ; ;as_rcic2;interview;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;2;4;4;2;4;4;4;4;4;-9;4;4;5;4;-9;4;4;4;4;2;4;4;4;4;4;4;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;3;2;3;4;4;4;4;4;4;4;3;2;1;2;8;43;36;27;42;39;23;30;19;28;25;35;355; ;1;12;12;2;2;40;3;42;4;4,33333333333333;3,5;4;4;4;3;4;3
281; ; ;as_rcic2;interview;3;3;3;3;3;5;4;4;5;2;3;5;4;3;4;4;4;4;4;3;4;3;4;3;4;4;4;4;5;5;5;5;5;3;5;5;5;3;4;3;4;5;5;3;4;5;5;2;2;2;2;2;2;4;4;3;4;3;2;2;2;3;3;3;2;4;4;4;4;3;3;2;4;3;3;3;4;4;4;4;4;5;3;3;3;4;4;3;4;5;5;5;5;4;3;4;2;1;1;28;75;45;39;39;40;33;37;46;34;18;25;403; ;1;12;12;0;0;0;1;1;2;3,75;2,75;4;3,25;4;3,5;5;3
