CASE;SERIAL;subject;QUESTNNR;MODE;DO07_01;TIME001;TIME002;TIME004;TIME005;TIME_SUM;MAILSENT;FINISHED;LASTPAGE;MAXPAGE;MISSING;MISSREL;DEG_MISS;DEG_TIME;DEGRADE;sex;bildung;citizen;migr;empathy_1;empathy_2;empathy_3;empathy_4;empathy_5;empathy_6;empathy_7;empathy_8;empathy_9;empathy_10;empathy_11;empathy_12;empathy_13;empathy_14;empathy_15;empathy_16;empathy_17;empathy_18;empathy_19;empathy_20;empathy_21;empathy_22;empathy_23;empathy_24;empathy_25;empathy_26;support_1;support_2;support_3;support_4;support_5;support_6;ni_1;ni_2;ni_3;ni_4;ni_5;ni_6;ni_7;ni_8;ni_9;ni_10;ni_11;ni_12;ni_13;ni_14;ni_15;ni_16;group;empathy;distress;ni_a;ni_g;ZDO07_01;Zempathy;Zni_a;Zni_g;Zgroup;grnia;grnig;niag;grniag;age_groups;ZSco01;ZSco02;ZSco03;ZSco04
 ; ;11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;1;0;7;1;5;2;1;6;5;7;7;6;7;6;6;6;1;7;4;2;6;1;4;5;6;2;3;4;5;6;1;5;4;5;4;4;4;4;5;4;4;4;3;3;1;1;3;1;5;5;1;3,66666666666667;6,25;3,625;3,25; ;-,20319194959686;,334882998026185;,828377920478463;1;,334882998026185;,828377920478463;,277409681508525;,277409681508525;1; ;-,20319194959686;,334882998026185;,828377920478463
 ; ;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;1;0;5;4;4;4;1;4;3;5;2;5;3;4;5;3;2;3;1;1;1;1;2;2;4;1;1;2;4;5;2;3;2;3;5;5;3;2;4;1;4;3;3;5;1;1;3;1;2;2;0;3,66666666666667;3,75;3,125;2,5; ;-,20319194959686;-,0805414805379435;-,0540246469877272;-1;,0805414805379435;,0540246469877272;,0043512250539313;-,0043512250539313;3; ;-,20319194959686;-,0805414805379435;-,0540246469877272
 ; ;13; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4;1;1;5;3;6;1;1;2;4;6;5;4;4;6;4;4;4;6;3;1;4;1;3;4;5;2;3;2;5;5;1;6;2;3;3;4;2;1;1;2;1;1;2;3;1;1;1;1;4;2;1;3;4,625;1,875;1,875; ;-,861466695398257;-1,11910267694827;-,789360119876219;1;-1,11910267694827;-,789360119876219;,88337502322968;,88337502322968;3; ;-,861466695398257;-1,11910267694827;-,789360119876219
 ; ;14; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;1;0;5;2;6;4;1;3;5;4;2;4;5;4;4;5;4;5;3;2;3;1;2;4;4;1;2;2;5;6;1;7;1;5;1;5;1;2;2;1;1;1;1;3;1;1;1;1;2;3;0;3,5;4,125;1,25;2,125; ;-,367760636047209;-1,63838327515343;-,495225930720822;-1;1,63838327515343;,495225930720822;,811369882315285;-,811369882315285;3; ;-,367760636047209;-1,63838327515343;-,495225930720822
396; ;15;sek_AS_israel3;interview;50;11;23; ;36;70; ;1;5;5;0;0;0;42;42;1;4;1;1;7;5;5;3;5;2;2;5;4;5;5;4;5;2;5;6;5;4;1;1;4;2;5;2;2;2;3;3;1;6;5;2;1;4;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4,5;4;1,25;1,375;2,10911052952841;,619651482654887;-1,63838327515343;-1,37762849818701;1;-1,63838327515343;-1,37762849818701;2,25708349080433;2,25708349080433;3;2,10911052952841;,619651482654887;-1,63838327515343;-1,37762849818701
392; ;16;sek_AS_israel3;interview;10;25;21;50; ;96; ;1;4;4;0;0;0;4;4;2;2;1;9;7;1;5;4;1;6;6;3;2;5;5;4;6;2;1;5;1;1;1;1;4;3;5;1;3;3;5;6;2;6;2;4;6;5;3;3;4;2;2;3;4;6;3;3;3;5;3;3;0;4;4,125;3,5;3,75;-,697190382941823;,125945423303839;,231026878385153;1,41664629878926;-1;-,231026878385153;-1,41664629878926;,327283372185163;-,327283372185163;3;-,697190382941823;,125945423303839;,231026878385153;1,41664629878926
394; ;18;sek_AS_israel3;interview;20;49;25;82; ;156; ;1;4;4;0;0;0;0;0;1;4;2;9;4;2;1;6;3;5;6;5;5;2;1;2;7;1;1;6;7;3;3;1;2;6;1;1;7;3;2;6;5;7;1;7;7;5;2;2;6;6;2;2;2;4;1;5;5;1;5;4;0;3,5;3,625;3,75;3,625;,00438484517573474;-,367760636047209;,438739117667217;1,26957920421156;-1;-,438739117667217;-1,26957920421156;,557014059864427;-,557014059864427;3;,00438484517573474;-,367760636047209;,438739117667217;1,26957920421156
395; ;19;sek_AS_israel3;interview;25;26;19;63; ;108; ;1;4;4;0;0;0;0;0;1;9;1;9;5;4;5;1;1;7;7;7;7;7;7;7;7;7;1;6;1;1;1;1;6;3;7;4;1;7;3;7;1;7;1;7;5;3;4;1;3;1;2;1;3;5;1;1;1;1;1;1;1;3,83333333333333;7;2,5;1,75;,355172459234514;-,0386232631465106;-,599822078743104;-,936427214453918;1;-,599822078743104;-,936427214453918;,561689718365364;,561689718365364;3;,355172459234514;-,0386232631465106;-,599822078743104;-,936427214453918
 ; ;20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;1;0;5;1;5;2;1;5;4;5;4;5;5;4;5;3;3;5;2;1;2;1;3;3;4;1;2;4;5;6;2;6;2;5;5;5;4;2;3;1;4;2;5;5;3;1;2;1;5;3;0;3,16666666666667;4,375;3,875;2,5; ;-,696898008947908;,54259523730825;-,0540246469877272;-1;-,54259523730825;,0540246469877272;-,0293135161528003;,0293135161528003;2; ;-,696898008947908;,54259523730825;-,0540246469877272
399; ;21;sek_AS_israel3;interview;0;54;17;152; ;223; ;1;4;4;0;0;0;0;0;2;3;1;0;5;3;4;4;2;4;6;6;4;5;5;4;5;2;1;6;3;2;2;1;2;2;6;2;4;2;5;5;1;1;2;3;5;5;2;1;2;1;1;1;4;6;1;1;2;2;4;1;1;3,66666666666667;4,625;2,625;2,25;-1,39876561105938;-,20319194959686;-,495965959102072;-,348158836143124;1;-,495965959102072;-,348158836143124;,172674931087586;,172674931087586;2;-1,39876561105938;-,20319194959686;-,495965959102072;-,348158836143124
400; ;22;sek_AS_israel3;interview;0;75;12;169; ;205; ;1;4;4;0;0;0;1;1;2;3;1;1;5;4;5;4;4;5;4;5;4;4;3;5;4;1;1;5;4;1;4;1;2;2;4;1;4;4;5;3;3;5;2;5;7;6;7;4;4;4;3;5;5;6;3;3;3;2;6;6;0;4,5;3,75;4,75;4,5;-1,39876561105938;,619651482654887;1,26958807479547;2,29904886625545;-1;-1,26958807479547;-2,29904886625545;2,91884502396997;-2,91884502396997;2;-1,39876561105938;,619651482654887;1,26958807479547;2,29904886625545
 ; ;23; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4;2;0;4;1;1;1;3;2;3;3;3;4;3;3;3;4;1;5;1;1;1;1;4;3;2;2;2;1;3;1;1;4;3;3;4;6;5;3;6;1;2;3;2;5;2;4;5;1;5;6;1;2;3,25;3,875;3,625; ;-1,84887881410035;,54259523730825;1,26957920421156;1;,54259523730825;1,26957920421156;,688867629590789;,688867629590789;1; ;-1,84887881410035;,54259523730825;1,26957920421156
401; ;24;sek_AS_israel3;interview;25;20;34;171; ;204; ;1;4;4;0;0;0;3;3;1;3;2;0;7;5;7;5;4;4;6;4;6;6;4;5;5;4;3;7;6;2;4;3;5;5;7;7;5;4;2;4;5;7;1;4;6;5;1;2;3;2;4;2;2;3;4;1;6;4;1;4;0;5,33333333333333;5;3,375;2,875;,355172459234514;1,44249491490663;,127170758744121;,387176636745368;-1;-,127170758744121;-,387176636745368;,0492375466629053;-,0492375466629053;1;,355172459234514;1,44249491490663;,127170758744121;,387176636745368
 ; ;25; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;1;0;7;7;7;6;3;7;7;7;6;4;7;5;7;5;2;5;2;1;1;1;4;2;5;1;4;3;5;7;1;7;1;2;4;2;1;1;1;1;1;1;2;4;1;1;1;1;7;3;1;6,16666666666667;6;2,25;1,75; ;2,26533834715838;-,807534318025169;-,936427214453918;1;-,807534318025169;-,936427214453918;,756197112004253;,756197112004253;2; ;2,26533834715838;-,807534318025169;-,936427214453918
402; ;26;sek_AS_israel3;interview;15;33;7;55; ;95; ;1;4;4;0;0;0;16;16;1;3;1;0;6;6;6;5;1;5;4;6;6;6;5;6;6;6;2;7;2;1;1;1;5;3;7;2;1;6;7;4;3;5;5;5;6;5;5;1;5;1;5;1;3;5;1;1;5;1;7;4;0;4,83333333333333;5,625;4,625;2,375;-,346402768883044;,948788855555585;1,16573195515444;-,201091741565426;-1;-1,16573195515444;,201091741565426;-,234419069060475;,234419069060475;2;-,346402768883044;,948788855555585;1,16573195515444;-,201091741565426
405; ;27;sek_AS_israel3;interview;25;22;18;24; ;64; ;1;4;4;0;0;0;28;28;1;3;1;0;6;1;6;4;4;5;3;5;7;5;5;3;5;5;3;5;5;1;4;1;5;4;7;2;5;2;4;5;3;6;4;6;5;4;3;1;3;1;2;1;3;5;2;1;2;1;4;4;1;4,33333333333333;4,75;3;2,25;,355172459234514;,455082796204537;-,184397600178976;-,348158836143124;1;-,184397600178976;-,348158836143124;,0641996538658973;,0641996538658973;1;,355172459234514;,455082796204537;-,184397600178976;-,348158836143124
403; ;28;sek_AS_israel3;interview;25;20;23;157; ;200; ;1;4;4;0;0;0;3;3;2;4;2;0;6;4;6;4;1;2;2;5;1;7;6;4;6;5;1;7;2;1;5;1;5;4;5;1;1;5;6;7;2;6;2;7;5;7;2;2;6;1;1;2;1;5;2;1;2;3;1;2;0;3,83333333333333;4,5;2,5;2,875;,355172459234514;-,0386232631465106;-,599822078743104;,387176636745368;-1;,599822078743104;-,387176636745368;-,23223709509337;,23223709509337;2;,355172459234514;-,0386232631465106;-,599822078743104;,387176636745368
404; ;29;sek_AS_israel3;interview;10;11;10;121; ;142; ;1;4;4;0;0;0;25;25;2;3;1;0;6;2;6;4;1;6;5;6;6;6;5;4;6;4;5;7;3;1;7;1;3;2;7;1;3;6;6;3;1;3;5;2;6;7;3;4;4;1;4;5;3;7;4;7;2;1;7;3;1;4,16666666666667;5,25;4,125;4,375;-,697190382941823;,290514109754188;,750307476590314;2,15198177167775;1;,750307476590314;2,15198177167775;1,61464801277588;1,61464801277588;2;-,697190382941823;,290514109754188;,750307476590314;2,15198177167775
406; ;30;sek_AS_israel3;interview;35;15;9;16; ;40; ;1;4;4;33;33;99;65;164;1;3;1;0;7;3;7;5;1;7;5;7;6;7;7;7;7;5;1;6;2;1;4;1;4;5;7;2;5;4;2;6;2;6;2;7;4;4;3;3;4;3;2;2;5;4;2;2;4;2;1;1;0;5;6,375;3,125;2,625;1,05674768735207;1,11335754200593;-,0805414805379435;,0930424475899712;-1;,0805414805379435;-,0930424475899712;-,00749377648177029;,00749377648177029;1;1,05674768735207;1,11335754200593;-,0805414805379435;,0930424475899712
407; ;31;sek_AS_israel3;interview;10;21;17;24; ;62; ;1;4;4;33;33;99;28;127;1;3;1;0;7;7;7;7;2;6;7;6;4;5;7;6;7;6;2;6;2;2;6;1;4;5;6;4;4;4;2;3;1;6;1;5;5;4;4;2;4;1;3;1;3;5;3;2;1;1;3;2;1;6;6;3,25;2,25;-,697190382941823;2,10076966070803;,0233146391030887;-,348158836143124;1;,0233146391030887;-,348158836143124;-,00811719761522834;-,00811719761522834;2;-,697190382941823;2,10076966070803;,0233146391030887;-,348158836143124
 ; ;32; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;1;9;5;2;7;1;1;6;1;2;3;2;4;3;4;2;1;5;1;1;1;1;1;1;1;1;1;1;3;4;2;5;3;3;7;5;6;4;5;1;4;2;4;3;3;1;2;2;5;4;0;3,66666666666667;2,625;4,5;2,75; ;-,20319194959686;1,06187583551341;,24010954216767;-1;-1,06187583551341;-,24010954216767;,254966520704037;-,254966520704037;3; ;-,20319194959686;1,06187583551341;,24010954216767
409; ;33;sek_AS_israel3;interview; ;13;18;102; ;133; ;1;4;4;33;31;93;14;107;2;4;1;1;5;2;4;2;1;3;1;2;1;4;3;2;1;1;4;6;4;4;1;1;1;1;5;1;1;2;7;7;1;7;1;3;6;2;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;2,83333333333333;1,875;1,75;1,125; ;-1,02603538184861;-1,2229587965893;-1,67176268734241;1;-1,2229587965893;-1,67176268734241;2,04449688429516;2,04449688429516;3; ;-1,02603538184861;-1,2229587965893;-1,67176268734241
 ; ;34; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;4;1;1;2;1;3;4;1;3;2;4;1;3;2;2;1;1;1;2;4;4;2;1;1;1;1;1;1;1;4;3;2;5;3;4;2;2;2;1;2;1;1;1;1;2;1;1;1;1;1;1;0;2,33333333333333;2;1,375;1,25; ;-1,51974144119965;-1,53452715551239;-1,52469559276471;-1;1,53452715551239;1,52469559276471;2,33968679098752;-2,33968679098752;3; ;-1,51974144119965;-1,53452715551239;-1,52469559276471
 ; ;35; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;1;0;7;4;7;2;3;7;3;7;5;7;7;7;6;5;1;7;5;1;3;1;5;5;7;5;1;7;7;7;1;5;2;7;7;7;7;7;7;1;7;7;7;7;5;1;5;1;6;6;1;5;5,875;6,375;4,625; ;1,11335754200593;2,61971763012889;2,44611596083315;1;2,61971763012889;2,44611596083315;6,40813310793427;6,40813310793427;1; ;1,11335754200593;2,61971763012889;2,44611596083315
408; ;36;sek_AS_israel3;interview;0;11;8;49; ;68; ;1;4;4;0;0;0;34;34;2;3;1;3;4;2;3;4;3;5;3;6;6;5;4;2;5;5;2;4;3;2;1;1;4;1;5;1;3;2;3;1;5;5;6;1;4;6;1;2;4;2;3;2;4;5;2;1;3;4;1;2;0;3,5;4,5;2,75;3;-1,39876561105938;-,367760636047209;-,39210983946104;,534243731323066;-1;,39210983946104;-,534243731323066;-,209482223722155;,209482223722155;2;-1,39876561105938;-,367760636047209;-,39210983946104;,534243731323066
 ; ;37; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;1;9;3;4;5;4;2;5;4;4;5;3;4;5;5;3;3;5;3;3;3;1;2;4;4;2;2;4;6;5;2;5;1;4;3;3;3;1;4;1;3;2;3;2;1;1;2;1;6;3;1;3,83333333333333;4,125;3,125;1,75; ;-,0386232631465106;-,0805414805379435;-,936427214453918;1;-,0805414805379435;-,936427214453918;,0754212342681408;,0754212342681408;1; ;-,0386232631465106;-,0805414805379435;-,936427214453918
413; ;38;sek_AS_israel3;interview; ;11;2;122; ;135; ;1;4;4;67;67;197;111;309;2;3;1;0;7;1;7;1;1;7;4;7;4;7;7;6;6;1;1;5;3;1;1;1;1;4;5;4;2;6;2;6;1;7;3;5;1;2;1;4;7;1;1;1;3;3;1;1;1;1;3;4;0;4;5,25;2,25;2,125; ;,125945423303839;-,807534318025169;-,495225930720822;-1;,807534318025169;,495225930720822;,399911934233019;-,399911934233019;1; ;,125945423303839;-,807534318025169;-,495225930720822
 ; ;39; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4;2;1;7;6;4;3;6;2;2;5;7;6;5;6;6;5;6;7;6;1;5;1;4;7;6;2;1;6;3;2;4;7;6;6;4;4;1;3;3;3;3;3;3;3;1;1;1;2;3;1;1;4,66666666666667;5,25;2,375;2,5; ;,784220169105236;-,703678198384136;-,0540246469877272;1;-,703678198384136;-,0540246469877272;,0380159662606629;,0380159662606629;1; ;,784220169105236;-,703678198384136;-,0540246469877272
 ; ;40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;2;0;5;1;2;2;1;3;3;2;2;5;3;4;5;4;2;5;3;1;4;1;4;4;5;3;4;2;3;2;2;4;2;4;4;3;2;3;4;2;3;5;3;2;1;1;3;2;1;4;0;2,33333333333333;3,5;2,625;2,75; ;-1,51974144119965;-,495965959102072;,24010954216767;-1;,495965959102072;-,24010954216767;-,119086159370748;,119086159370748;1; ;-1,51974144119965;-,495965959102072;,24010954216767
415; ;41;sek_AS_israel3;interview;10;26;7;85; ;118; ;1;4;4;0;0;0;14;14;1;3;1;1;2;2;5;1;1;1;1;4;2;4;3;4;1;2;1;3;1;1;2;1;1;1;1;1;1;1;3;4;1;6;1;4;2;4;2;1;1;1;1;1;2;2;1;1;1;2;1;2;1;2;2,625;1,375;1,75;-,697190382941823;-1,84887881410035;-1,53452715551239;-,936427214453918;1;-1,53452715551239;-,936427214453918;1,43697298974036;1,43697298974036;2;-,697190382941823;-1,84887881410035;-1,53452715551239;-,936427214453918
414; ;42;sek_AS_israel3;interview;10;21;19;117; ;157; ;1;4;4;0;0;0;2;2;2;3;1;0;5;2;4;4;3;5;4;5;3;4;4;2;2;5;2;6;3;4;3;3;3;2;5;1;2;1;5;3;2;5;2;5;5;6;5;4;4;2;5;6;6;6;4;5;2;3;4;5;0;3,83333333333333;3,625;4,375;4,625;-,697190382941823;-,0386232631465106;,958019715872378;2,44611596083315;-1;-,958019715872378;-2,44611596083315;2,34342731778826;-2,34342731778826;1;-,697190382941823;-,0386232631465106;,958019715872378;2,44611596083315
416; ;43;sek_AS_israel3;interview; ;4;2;1; ;7; ;1;4;4;100;100;296;342;638;2;3;1;0;5;4;5;4;1;5;5;6;4;5;6;7;6;5;2;5;4;1;3;1;4;2;6;1;1;1;6;5;2;6;2;2;6;5;5;4;4;1;6;3;4;3;2;1;2;1;3;5;1;4;5,5;4;2,875; ;,125945423303839;,646451356949282;,387176636745368;1;,646451356949282;,387176636745368;,250290862203102;,250290862203102;1; ;,125945423303839;,646451356949282;,387176636745368
 ; ;44; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;1;9;4;2;5;3;1;3;4;2;2;4;2;5;5;3;2;6;2;3;2;1;2;4;6;1;1;2;4;3;3;6;2;2;4;4;6;3;4;3;1;1;4;3;1;1;2;2;6;4;0;3;3,375;3,5;2,625; ;-,861466695398257;,231026878385153;,0930424475899712;-1;-,231026878385153;-,0930424475899712;,0214953062240252;-,0214953062240252;2; ;-,861466695398257;,231026878385153;,0930424475899712
 ; ;45; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;1;0;7;2;7;2;1;6;7;7;7;6;7;5;7;5;3;6;2;1;1;1;7;6;6;2;6;2;2;6;2;6;2;7;4;4;3;3;2;3;5;3;3;3;5;1;2;1;6;3;1;4,16666666666667;6,375;3,75;2,625; ;,290514109754188;,438739117667217;,0930424475899712;1;,438739117667217;,0930424475899712;,0408213613612223;,0408213613612223;1; ;,290514109754188;,438739117667217;,0930424475899712
 ; ;46; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;1;0;6;1;5;2;1;6;5;5;5;4;6;4;5;4;3;4;4;1;1;1;5;4;6;1;2;6;4;5;2;3;2;6;5;6;5;3;4;2;2;2;4;5;2;1;3;2;3;4;0;3,5;4,75;3,5;3,125; ;-,367760636047209;,231026878385153;,681310825900765;-1;-,231026878385153;-,681310825900765;,157401113317864;-,157401113317864;1; ;-,367760636047209;,231026878385153;,681310825900765
 ; ;47; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;2;1;5;1;3;1;1;3;2;4;1;3;2;2;3;1;1;6;1;1;1;1;1;1;3;2;1;1;3;6;1;6;2;3;2;2;1;1;1;1;1;1;1;2;1;1;2;1;1;1;1;2,33333333333333;2,25;1,25;1,25; ;-1,51974144119965;-1,63838327515343;-1,52469559276471;1;-1,63838327515343;-1,52469559276471;2,49803575888584;2,49803575888584;1; ;-1,51974144119965;-1,63838327515343;-1,52469559276471
 ; ;48; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;1;0;6;4;5;4;4;5;1;5;6;5;5;4;5;3;3;6;4;1;2;1;1;2;6;1;1;6;1;5;1;7;1;4;7;5;1;1;1;1;1;1;3;6;1;1;1;1;7;5;0;4,66666666666667;4,25;2,75;2,625; ;,784220169105236;-,39210983946104;,0930424475899712;-1;,39210983946104;-,0930424475899712;-,0364828591875658;,0364828591875658;1; ;,784220169105236;-,39210983946104;,0930424475899712
 ; ;49; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;1;0;5;3;2;3;4;5;3;5;4;5;5;3;5;4;2;3;2;3;4;2;5;4;4;2;3;3;4;3;5;5;4;3;4;5;5;4;4;4;5;5;4;5;4;2;2;1;3;5;1;3,66666666666667;4,25;3,875;3,875; ;-,20319194959686;,54259523730825;1,56371339336696;1;,54259523730825;1,56371339336696;,848463439756031;,848463439756031;3; ;-,20319194959686;,54259523730825;1,56371339336696
 ; ;50; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;1;0;3;2;3;3;1;6;3;4;2;7;5;3;3;4;2;7;2;1;2;1;1;3;5;1;5;7;6;5;2;2;3;3;7;6;6;1;6;1;4;2;6;6;2;1;2;2;7;4;0;3;3,875;5;2,875; ;-,861466695398257;1,47730031407754;,387176636745368;-1;-1,47730031407754;-,387176636745368;,571976167067417;-,571976167067417;1; ;-,861466695398257;1,47730031407754;,387176636745368
