"changingstrategy","condition","counterbalance","dangerpercent","degree","difficulty","education","engagement","finalscore","gender","howtoimprove","instructionloops","major","numdimchecked","pastemployer","pastposition","penpaper","skill","strategy","uniqueid","exclude","rightdimensions","trapdimensions"
"when i found a combo that worked i tried to remember it and stopped trying to find other combos and just rejected the rest.","contingent",5,80,1,5,"somecollege","9",60,"female","no",0,"mathscience",3,0,1,"no",1,"when i came across one combo of skills/experience that worked I remembered it and stopped randomly guessing since it cost so much for an incorrect answer.",65,0,0,0
"no","full_info",5,15,1,7,"somegrad","8",117,"female","no",2,"mathscience",1,0,0,"no",0,"econ was good couldn't figure out business",64,0,0,1
"no","full_info",2,10,1,9,"somecollege","5",47,"male","no",0,"mathscience",1,0,0,"no",0,"none",122,0,0,1
"I gradually narrowed it down, then tried to figure out what other variable made product development acceptable, then gave up and just rejected anyone w/a past in it","occluded",1,35,0,8,"bachelors","9",67,"female","",0,"business",1,0,1,"no",0,"initially to accept so that I could find a pattern",118,0,0,1
"Yes, I try some new things at one point.","contingent",4,70,0,5,"somecollege","0",40,"male","",2,"other",1,0,0,"no",1,"I chose to reject most applicants to preserve the bonus for myself. I then gambled a bit to try to get more, but went back to my original strategy after losing 20% of my bonus.",111,0,0,1
"Not really - just figure out the right categories and stuck with it. ","full_info",1,20,0,2,"doctor","8",153,"female","This was fun!",1,"humanities",2,1,1,"no",0,"I had to test things at first, but figured it out. Took me longer to figure out the pattern of the blank ones - at first I thought it was an error!",29,0,1,0
"No.","individuated",0,50,0,0,"somecollege","5",115,"female","None",0,"business",1,0,0,"no",1,"I found out that Graphic Editing was usually more of a gain. I tried accepting computer programmers but it seemed it was a coin flip.",93,0,0,1
"no","individuated",4,40,0,3,"somegrad","5",123,"female","no",2,"mathscience",1,0,0,"no",1,"skill seem to be a good predictor ",96,0,0,1
"I started to ignore other categories that seemed to be irrelevant","occluded",4,15,1,3,"somecollege","8",143,"male","",0,"noresp",2,0,0,"no",1,"My only strategy was to experiment early on and find a couple things that always results in profit on their own. Once I did that it was incredibly easy.",80,0,1,0
"No","contingent",2,50,0,2,"somecollege","8",131,"female","No",1,"humanities",1,0,0,"no",1,"I only accepted those with the computer programming skill listed. I did not want my score to go down at all, so I may have rejected some suitable candidates.",74,0,0,1
"no","contingent",3,-32,1,10,"bachelors","10",24,"male","no",0,"humanities",4,1,1,"no",1,"the entire thing made zero sense to me",107,0,0,0
"Trying to figure out a strategy ","individuated",3,72,1,8,"highschool","10",41,"male","no",0,"noresp",4,1,1,"no",1,"Try to get the right skill and past postion",40,0,0,0
"no","individuated",0,50,0,10,"highschool","5",34,"male","no",0,"noresp",2,1,1,"no",0,"Tried to animism accepts as I need 4 to make up for 1 reject.",87,0,0,0
"","full_info",1,20,0,6,"somecollege","2",20,"male","",0,"mathscience",2,1,1,"no",0,"",52,0,1,0
"no","contingent",1,50,0,2,"highschool","5",119,"female","no",1,"mathscience",1,1,0,"no",0,"Past employer",114,0,0,1
"no","full_info",2,15,0,4,"masters","8",119,"female","no",0,"other",2,1,0,"no",1,"I trialed and paid attention to when and where things were when they were rejected",12,0,1,0
"no","occluded",5,65,1,5,"somecollege","7",48,"male","",1,"business",2,0,0,"no",1,"I did not.",85,0,0,0
"Once I discovered the two variables that influenced the game, I simply paid attention to those two variables and ignored the bottom two of the candidates.","full_info",5,40,1,7,"somecollege","9",131,"male","No.",0,"mathscience",2,1,0,"no",0,"I first noticed that the type of degree had influence on whether the applicant was acceptable. After that, it was simple trial and error to discover that the past employer was the secondary variable of influence.",45,0,1,0
"no","individuated",2,25,0,10,"masters","8",23,"female","no",1,"engineering",0,0,0,"no",0,"no, I didn't figure it out, I did it randomly",21,0,0,0
"Once I noted business degrees didn't know how to program a computer, I sped up a bit in my choosing.","full_info",4,10,1,6,"somecollege","9",137,"male","This was fun.  I'd like to know how many people noticed the pattern mixed in the irrelevent data.",0,"humanities",2,0,0,"no",1,"First determine what pairs were unsuitable by accepting everybody.  Then memorize which traits were similar across all bad candidates.",32,0,1,0
"No, I didn't notice anything.","contingent",5,25,1,6,"bachelors","5",53,"male","Not at this time.",0,"humanities",1,0,0,"no",0,"I had a couple, but ended up going with only business degrees, because they all seemed to be accepted. The economics degree was sometime accepted, but I couldn't figure out with what other field it was associated with and couldn't afford anymore -4000, so just stuck with the business.",86,0,0,1
"I don't think so","occluded",3,50,0,5,"bachelors","5",100,"male","no",0,"mathscience",1,0,1,"no",0,"reject anything that had Market Research or had the past position blacked out, that's it",23,0,0,1
"Not really, after the first few trials without any bad decisions it seemed like I had found the right way to do it.","contingent",4,15,1,2,"bachelors","noresp",161,"female","Interesting HIT, thanks!",0,"humanities",2,0,0,"no",1,"After the first couple of rounds it seemed like anything with business and computer programming was a bad decision, but business was fine when mixed with graphics.",28,0,1,0
"no","individuated",1,12,0,4,"somecollege","10",128,"female","no",0,"humanities",2,1,1,"no",0,"I tried to remember 2 of the 4 fields at a time, and paid attention to whether they were acceptable or not, until I noticed which 2 of the 4 fields had to have certain values in order to not be acceptable.",37,0,1,0
"No","occluded",0,40,1,3,"bachelors","8",87,"male","No",0,"socialscience",2,0,0,"no",1,"I tended to pair a degree in Economics with a skill Computer Programming but then realized that the Computer Programming skill was always accepted.  ",73,0,0,0
"no","contingent",2,50,0,2,"somegrad","10",112,"female","no",1,"business",1,1,0,"no",0,"I based all my decisions on the past employer",70,0,0,1
"no","individuated",4,30,0,2,"bachelors","8",151,"male","no",1,"engineering",1,0,0,"no",1,"No strat, just find out what works.",108,0,0,1
"Not really","contingent",1,50,0,6,"somehs","9",97,"male","The study locked up on me several times. Twice, I was asked to accept or reject candidates without being presented any info about them. I rejected both. But there's definitely something wrong. It just locked up while i was writing this.",0,"noresp",1,0,1,"no",0,"After a while, I stopped looking for combinations. If a candidate was bad, there were always from market research.",20,0,0,1
"No","full_info",0,10,0,6,"masters","8",150,"male","No",0,"business",2,0,1,"no",1,"I tried to find the common characteristics of the poor hires.",79,0,1,0
"Not really. I had trouble determining the pattern, which affected my confidence.","contingent",0,60,1,10,"masters","10",16,"female","",5,"humanities",2,1,0,"no",0,"If they had business and Hudson, I accepted them. Then I tried to match the skill/past job, but honestly it didn't seem to really help and I was shocked to have made a profit!",71,1,0,0
"at the beginning i tried to see if any combination was key","occluded",2,30,0,3,"masters","10",74,"female","",2,"socialscience",1,1,0,"no",0,"after awhile i just relied on past employer.  Hudson gave you and +1",61,0,0,1
"I started out accepting everything in an attempt to learn. Once I felt sure of my strategy, I kept with that. I might have kept learning more, but I was losing too much money, so I got more careful.","individuated",5,25,1,10,"bachelors","9",60,"female","Not really.",0,"engineering",3,0,1,"no",1,"I found that if the field was B H C P worked and as long as I had B and 2 out of 3 of the other 3 it would work. I'm sure that I rejected a lot that were good, but this seemed to work for me.",109,0,0,0
"After I'm guessing 5-15 rounds I realized the pattern of ""Economics"" + ""Product Development"" = ""Unsuitable""","full_info",3,20,1,2,"highschool","8",160,"male","After I got into it I started to really enjoy the whole thing.",0,"noresp",2,0,1,"no",0,"I realized after so many rounds that the combination of the degree ""Economics"" and past position ""Product Development"" resulted in an unsuitable applicant. All other combinations of attributes were suitable.",91,0,1,0
"","contingent",3,25,0,10,"somecollege","6",53,"female","",0,"noresp",1,0,0,"no",1,"",63,0,0,1
"no","occluded",1,50,0,2,"somecollege","10",91,"female","no",3,"business",1,1,0,"no",0,"choose hudson",47,1,0,1
"everyone was suitable except for former product developers at Hudson","full_info",1,20,0,4,"bachelors","6",147,"male","",0,"mathscience",2,1,1,"no",0,"none",77,0,1,0
"As I started to recognize which attributes were suitable and which were not, I was able to go faster incrementally.","individuated",1,30,1,2,"somecollege","10",90,"female","This was pretty fun, thanks for the opportunity to participate!",0,"other",3,1,1,"no",0,"I tried to narrow down the fields by seeking patterns of suitability vs unsuitability, first with former employer, then with former positions, and then with degrees.",105,0,0,0
"no","occluded",4,40,1,1,"bachelors","8",155,"female","no",0,"socialscience",2,0,0,"no",1,"After a couple of trial and error, I found that for suitable applicants, degree = economics OR skill = graphics editor",92,0,1,0
"I used predictions based on the past outcomes.","individuated",4,25,1,3,"bachelors","5",-1,"female","Thank you for the task, it was interesting and fairly easy to complete.",2,"humanities",4,1,1,"no",1,"It seemed to me that every third applicant was unsuitable and I would lose revenue. So I rejected every third applicant during the first trial of 28 applicants.",83,0,0,0
"No. I dont think much changed at all.","full_info",0,15,0,4,"masters","10",148,"female","None",1,"mathscience",2,0,1,"no",1,"I made sure that Graphic Editing and Market Research werent listed. ",104,0,1,0
"I got more relaxed knowing at least some of the exact criteria and didn't bother to check whether other Business applications might increase revenue once I knew at least one type did.","occluded",5,60,1,7,"somecollege","10",110,"female","No",0,"humanities",2,1,0,"no",0,"I tried to remember which of the Business applications I lost revenue on, because I discovered early on that Economics was always a plus.",88,0,1,0
"Initially I thought there was some sort of pattern, but then realized it seemed more random","individuated",5,60,1,5,"masters","10",8,"female","the task was fun and unique",1,"business",2,0,1,"no",0,"I mainly chose applications with business and productive development qualifications",101,0,0,0
"Only thing that changed was once I determined the important factors, I started choosing which ones to approve based on that.","occluded",0,15,0,4,"somecollege","10",147,"female","none, this was fun and enjoyable.",1,"humanities",2,0,1,"no",1,"I started by approving all applicants at first until I figured out what the unsuitable applicants had in common and the suitable ones had in common.",98,0,1,0
"I narrowed down some of the other items.  There were still a few I wasn't sure about, so I just rejected.","full_info",2,15,1,1,"bachelors","10",126,"female","no",0,"socialscience",2,1,0,"no",0,"I just figured out that Hudson had all the rejections.  ",113,0,0,0
"No, I kept the same strategy.","individuated",0,40,0,3,"somecollege","10",127,"female","no",0,"humanities",1,0,0,"no",1,"After losing money when graphics was on the resume, I rejected all of them. ",69,0,0,1
"Yes I gave up on finding a pattern because everytime I thought I had it didn't work.","contingent",4,50,0,4,"bachelors","7",46,"female","N/A",5,"business",2,0,1,"no",1,"I couldn't find a pattern even though I kept looking for one. ",13,1,0,0
"II was intrigued, gave up for a bit and found the pattern there, then had fun again.","contingent",2,20,0,9,"masters","8",76,"male","What was the point of the staggered and shuffled reveal of information?",1,"other",2,1,0,"no",1,"I looked at different combinations and the order they appeared.   Eventually I accepted a lot to find the pattern before implementing it.",16,0,1,0
"No","occluded",3,40,1,4,"highschool","10",98,"male","no thank you. NYU you da you da best",0,"noresp",3,1,1,"no",0,"Economics wins no matter what, Nile PLUS market research always wins as well. Reject everything else.",66,0,0,0
"No","occluded",1,40,0,5,"somegrad","7",99,"male","No",0,"humanities",1,1,0,"no",0,"Looking for a consistent pattern.",48,0,0,1
"I only focused on choosing people from Hudson company.","contingent",5,38,0,2,"bachelors","10",112,"female","It was a fun task.",2,"other",1,1,0,"no",0,"The only criteria I used was the previous employoer.",103,0,0,1
"Yes, I became more conservative with my decision toward the end of the exercise.","individuated",3,50,0,8,"somecollege","2",13,"male","",0,"socialscience",2,0,1,"no",1,"",22,0,0,0
"I just tried different combinations and I was willing to take some losses so that I could see which combinations allowed me to both gain and lose revenue for the corporation.","contingent",1,25,0,5,"masters","10",114,"male","Thanks for the opportunity to participate and good luck with your research.  Also, as an FYI, I found the server at the beginning to be VERY slow.   It eventually picked up speed but the start of the experiment was excruciatingly slow.",0,"business",2,1,1,"no",0,"I started slowly and tried some different combinations.   I tried different combinations and I told myself that I was willing to lose money at the start so that I could learn and gain experience on the different combinations that resulted in the best outcome for the corporation.",102,0,1,0
"Once I figured out it was the degree, I rejected all the applicants with a Business degree","contingent",3,50,1,4,"bachelors","7",110,"male","",0,"engineering",1,0,0,"no",0,"Trying different people until I figured out what the important field was.",72,0,0,1
"By the time that I got to the part where I wasn't told the amount of revenue, I already knew the pattern enough to be confident in my choices.","full_info",4,50,1,6,"somecollege","7",131,"female","I'd like to know what this was about!",0,"business",2,0,0,"no",1,"Yes. It took a minute to figure out, but eventually I figured out that it seemed like if they had the skill of computer programming they were acceptable regardless of other criteria. Now, the ones that had ""Economics"" as a major but only market research and the other optioin - basically, if they were NOT programmers - then they were not suitable. Almost all of the business ones were suitable, I believe.",89,0,1,0
"I looked for computer programming a lot more","occluded",2,45,1,5,"bachelors","8",69,"female","",2,"other",2,0,0,"no",1,"I wondered if there was just one answer after seeing some of the loses.",30,0,0,0
"no","full_info",3,35,1,7,"somecollege","10",57,"female","i had no issues",0,"humanities",2,1,0,"no",0,"tried to have a tier system.",67,0,0,0
"no.","full_info",5,39,1,7,"somegrad","10",45,"female","no.",2,"other",1,0,0,"no",0,"none",42,0,0,1
"No","individuated",2,40,1,5,"bachelors","10",-2,"male","No",2,"business",2,0,1,"no",0,"I tried to use the degree and previous position, but it didn't work very well.",75,0,0,0
"no","contingent",0,70,0,5,"somecollege","10",125,"female","no",1,"socialscience",1,0,1,"no",0,"I just looked for the past position",121,0,0,1
"","individuated",3,50,0,10,"highschool","0",18,"male","",0,"noresp",0,0,0,"noresp",0,"",36,0,0,0
"Yes","full_info",1,30,1,8,"bachelors","9",41,"male","N/A",2,"engineering",4,1,1,"no",1,"I looked at the specialty and major, as well as past experience.",55,0,0,0
"Nothing changed except they didnt tell you when you got the bonus or not in the second part.","contingent",4,45,0,0,"bachelors","8",119,"male","",1,"business",1,0,0,"no",1,"I just paid attention to the skills.",26,0,0,1
"it felt random","full_info",0,40,1,10,"somecollege","8",41,"male","Interesting study. I enjoyed it.",0,"mathscience",1,0,0,"no",0,"I looked at economics/business before making my decision. I think economics were more likely to get rejected",43,0,0,1
"no","occluded",1,60,0,5,"highschool","8",106,"male","no",1,"noresp",1,0,1,"no",0,"I noticed that market research positions always gave revenue and so I only accepted them and basically stopped losing money about a quarter of the way through the applicants.",119,0,0,1
"No, once I found out how to play it was straight forward","occluded",4,50,1,3,"somecollege","10",117,"male","None",1,"other",1,0,0,"no",0,"Just chose the guy with the economics degree every time they showed up on the screen",120,0,0,1
"No. As soon as I knew computer programming skill was the winner, I accepted all of those and rejected graphics.","contingent",2,50,0,1,"bachelors","10",122,"male","No",0,"socialscience",1,0,0,"no",1,"I tried accepting the first few applicants to see by trial and error which field was the one that determined the correct response.",53,0,0,1
"no","full_info",5,20,1,9,"somecollege","8",151,"female","no",0,"socialscience",2,1,0,"no",0,"i figured out that people with economics degrees from hudson were the only unacceptable one",33,0,1,0
"I think my selections became more random as the game progressed.","contingent",5,20,1,5,"bachelors","9",119,"male","No",0,"mathscience",4,1,1,"no",1,"Economist from Nile Inc have serious issues.",31,0,0,0
"I tried to focus on all the fields combined","contingent",1,60,1,9,"masters","9",35,"female","no",0,"humanities",4,1,1,"no",1,"I didnt/",110,0,0,0
"no","full_info",3,20,0,4,"bachelors","5",35,"male","no",0,"socialscience",1,0,0,"no",1,"",81,0,0,1
"No","contingent",0,25,0,3,"somecollege","7",125,"female","None",0,"business",1,0,0,"no",1,"I think computer skills were always a right answer.",50,0,0,1
"","individuated",1,50,0,2,"somecollege","5",106,"female","",0,"humanities",1,0,1,"no",0,"Tried different combinations that gave positive results until I was able to figure out what the determining factor was.",94,0,0,1
"None. ","occluded",0,50,0,5,"bachelors","4",81,"male","None. ",1,"other",1,0,0,"no",1,"I noticed that computer programming was the most useful skill to have. ",49,0,0,1
"no","individuated",4,47,1,0,"somecollege","noresp",119,"male","no",0,"humanities",1,0,0,"no",0,"figure out what trait wqas being looked for fast",54,0,0,1
"no change","individuated",2,60,0,6,"bachelors","7",57,"female","n/a",2,"humanities",2,0,1,"no",1,"n/a",2,0,0,0
"I choose less after a while","full_info",4,25,1,8,"somecollege","5",68,"female","no",3,"mathscience",2,0,0,"no",1,"I did not figure out how you were deciding anything except where all factors were right.",5,1,1,0
"The first several blank skill fields gave gains, then they started giving losses. I just started rejecting them after that.","occluded",2,60,0,1,"somecollege","5",109,"male","",1,"noresp",1,0,0,"no",1,"Once I figured out that the skill type was the determining factor, it was simple.",76,0,0,1
"no","occluded",5,60,1,4,"bachelors","7",71,"male","none",1,"other",3,0,1,"no",1,"I just tried to memorize the best combinations",7,0,0,0
"Not really.","occluded",3,60,0,5,"bachelors","8",28,"male","No.",1,"mathscience",2,0,1,"no",1,"Reject more than I accept.",9,0,0,0
"Not after I figured out the pattern.","contingent",3,50,0,2,"somecollege","5",126,"female","",0,"humanities",1,0,1,"no",0,"It seemed like past position was the only field that affected the outcome so I accepted the people who were in Market Research and rejected the people in Product development.",82,0,0,1
"Quickly discovered the strategy I used above and just stuck to it and played it safe. ","individuated",5,25,1,3,"bachelors","7",162,"male","",0,"engineering",2,1,0,"no",0,"Only selected applicants with Economy major and/or Nile Co. There may have been other possible candidates but I did not want to risk losing money finding out other valuable traits.",57,0,1,0
"see ablove","contingent",2,20,0,2,"somegrad","7",144,"male","n/a",0,"mathscience",2,1,0,"no",1,"Not at the beginning, but as it went on, I realized that you wanted to reject the combination of Hudson and computer programming, and accept all others.",38,0,1,0
"yes","full_info",1,35,1,5,"highschool","10",33,"female","no",0,"noresponse",3,0,1,"no",1,"i tried to match up the characteristics with eachother on each applicant but it was difficult to remember them",84,0,0,0
"I began to notice patterns and so became more confident in my answers","full_info",3,75,1,8,"masters","10",144,"male","",0,"humanities",2,0,1,"no",0,"I used memory to find patterns",39,0,1,0
"Not really.","full_info",5,30,1,1,"highschool","5",146,"male","Was interesting enough albeit not difficult.",0,"noresp",2,1,0,"no",0,"Accept all business applications. Accept only economics applications that worked at Hudson. Ignore the last two fields.",35,0,1,0
"After the first 5-7 candidates, I had a strategy down which may not have accepted all of the qualified candidates, but would ensure profit maximization","occluded",0,55,0,5,"bachelors","7",153,"male","Would be interesting to see if there were any other factors beyond what I discovered to determine qualified candidates",1,"business",2,0,1,"no",1,"I tested with the first few choices and narrowed in on accepting all computer programming and any graphic designers with market research",17,0,1,0
"No.","individuated",0,40,0,0,"somecollege","10",54,"male","No.",3,"engineering",2,0,1,"no",1,"My strategy was to focus on the past employer and past position to determine if the person was qualified. ",6,1,1,0
"nothing seemed to change","full_info",4,20,1,4,"somecollege","6",131,"male","nope",2,"other",2,0,0,"no",1,"I figured programming was the most important, but had a hard time gauging the other fields",19,0,1,0
"Early on it was harder, then when I figured out the pattern it was easy","full_info",2,25,0,4,"masters","6",128,"female","On the engagement and difficulty scale, I would rate the activity higher earlier in the experiment and lower later on.",1,"humanities",2,1,0,"no",1,"Guess and check at first, to figure out the desirable attributes",41,0,1,0
"After determining that the degree was a factor, I also found there to be another factor...however, the inability to write down and track it made it impossible for me to pin point the second variable down. Therefore, as the game progressed I began denying any applicant that did not match the degree variable that I was seeking. ","occluded",3,35,1,7,"bachelors","10",83,"female","It was a neat brain game.",0,"socialscience",1,0,0,"no",0,"Initially I tried to approve everyone. And, then I watched to notice what each value was when I would lose money. I looked for ways to eliminate certain values. It kind of sounds weird, but I used the same kind of strategy that I would use when I was younger and played the board game ""Clue"".",27,0,0,1
"Towards the end of the first round I accepted more programmers.","contingent",0,60,0,4,"bachelors","10",133,"female","No.",0,"business",1,0,0,"no",1,"I accepted all of those with graphics in their skill set and only accepted a few of the programmers.",112,0,0,1
"No","individuated",0,20,0,7,"bachelors","9",104,"female","No",2,"mathscience",2,0,1,"no",1,"I used my judgment based on the acceptances for the first game ",100,0,1,0
"not really","full_info",0,30,1,8,"noresponse","6",94,"noresponse","",1,"noresponse",4,1,1,"no",1,"no",4,0,0,0
"No","contingent",1,25,1,5,"highschool","10",96,"male","None",0,"noresp",2,0,1,"no",0,"Market research was always suitable. The others I couldnt figure out completely",3,0,0,0
"no","contingent",4,40,1,0,"somegrad","10",100,"female","It was fun, thank you",1,"other",4,1,1,"no",1,"I accepted all at first and tried to remember the pattern. Some I remembered but the ones I didnt I rejected. ",8,0,0,0
"none","individuated",3,20,1,6,"somecollege","8",14,"female","none",2,"mathscience",3,1,0,"no",1,"none",14,0,0,0
"I noticed that they were not looking for an applicant with skills in graphics.","individuated",4,50,0,0,"somecollege","6",95,"male","negative",0,"mathscience",1,0,0,"no",1,"I exclusively looked at their skills. ",58,0,0,1
"no","occluded",4,60,0,7,"somecollege","6",75,"female","",1,"socialscience",2,0,1,"no",1,"no",15,0,0,0
"Once I knew the pattern I began making money rather than breaking even.","individuated",1,25,0,5,"somecollege","10",128,"female","I enjoyed doing this task because I like to be challenged.",1,"socialscience",2,1,1,"no",0,"I accepted all applicants until I knew the pattern. I paid attention to which combinations resulted in a loss of revenue and which resulted in gains. I noticed that those working for Hudson always were accepted, and those working for Nile were rejected if the worked in Market but accepted if the worked in Project.",46,0,1,0
"As I learned what attributes had a bigger impact on whether or not the applicant was suitable, I started to focus on those to help my decisions.","occluded",2,40,0,4,"bachelors","9",116,"male","Very engaging! Great experiment!",0,"business",1,0,0,"no",1,"Pay attention to the skill of the job applicant. That appeared to be the most influential in determining if the applicant was suitable for the job.",106,0,0,1
"I spent at least the first 1/4 of the time trying to determine what made a more qualified employee. I was able to make quicker decisions when I narrowed it down.","individuated",2,NA,0,4,"bachelors","5",89,"female","",3,"humanities",1,0,0,"no",1,"Basically, I realized that Graphics always came up as a + Revenue and just stuck to that.",10,1,0,1
"yes I learned which was getting rejected","occluded",1,20,0,0,"masters","10",99,"female","",0,"socialscience",1,0,1,"no",0,"I notice that the last position was the one that was getting rejected it was product development ",116,0,0,1
"I became faster about my decision because it was based solely on the one area whether it matched or not.  ","contingent",5,50,1,7,"masters","10",123,"male","Nope",0,"engineering",1,0,0,"no",0,"I tried to find at least one factor that would work no matter what situation and that was the Business option",115,0,0,1
"Yes, once I accepted that it was that simple, I aced the rest of the test.","full_info",2,20,0,6,"highschool","7",71,"female","Pressing spacebar to reveal fields is annoying.",0,"noresp",2,1,0,"no",1,"I kept wanting to think that the degree was relevant to their field. Economics for a graphic editor is not the best combination but finally I just realized ""Nile's programmers are terrible"", everything else is fine.",56,0,1,0
"Toward the beginning of the game i was guessing. I then noticed a pattern.","occluded",5,20,1,4,"bachelors","10",124,"male","",0,"business",2,1,0,"no",0,"By the end I was accepting anyone who worked for Nile or had a degree in economics.",11,0,1,0
"Yes","individuated",5,25,1,6,"somecollege","8",101,"female","No",1,"other",1,0,0,"no",0,"Business degree got a hire and Economics were rejected.",24,0,0,1
"I felt like I had less to go on so I became more cautious.","contingent",3,60,1,8,"bachelors","10",33,"female","-4 is a serious penalty. ",1,"socialscience",2,0,0,"no",1,"I mainly looked at the two qualifications I noted to see if they matched at all. I also matched the degree with the past position.",62,0,0,0
"Nothing changed how I played.","contingent",4,60,0,1,"bachelors","9",109,"female","This was fun, thank you",0,"humanities",1,0,0,"no",1,"I tried to figure out by trial and error which fields were going to disqualify someone, but it seemed only the skill mattered, so I focused only on that. (computer programming = disqualified; graphic design = qualified)",90,0,0,1
"Once I learned who to accept and who not to","full_info",3,15,1,3,"somecollege","10",117,"male","This was fun!",2,"other",2,0,1,"no",0,"All business degree applicants were accepted. Only those in product development with marketing degrees (or other non business degree) got accepted.",78,0,1,0
