"antennae","body","changingstrategy","condition","counterbalance","dangerpercent","difficulty","education","engagement","finalscore","gender","howtoimprove","instructionloops","legs","major","numdimchecked","penpaper","strategy","uniqueid","wings","exclude","rightdimensions","trapdimensions"
0,1,"Once it went on to round two and it didnt give me any feedback about which bees were safe or unsafe i made sure to stick with the ones i knew were safe. The ones with spots.","full_info",2,40,4,"bachelors",10,1.32,"female","This was a very fun task.",0,0,"humanities",1,"no","I found early on that all of the bees with spots were safe and a very small portion of the bees with stripes were safe. I stuck with the ones with spots for the most part.",47,0,0,0,1
0,1,"I noticed that towards the end there were more dangerous bees.","full_info",1,40,5,"bachelors",10,1.16,"male","Great task",0,0,"business",1,"no","I tried to notice patterns in the bees to help me out.",23,0,0,0,1
0,1,"","contingent",1,25,10,"somecollege",9,0.32,"female","",0,1,"other",2,"no","I honestly just hoped I didn't lose the entire bonus. There was only guessing, no really strategy.",10,0,0,0,0
1,0,"No. ","full_info",0,30,9,"masters",10,0.14,"female","",0,0,"humanities",1,"no","I tried to figure it out but didn't. ",68,0,0,0,1
1,1,"I didn't","contingent",2,25,8,"somecollege",10,0.8,"male","Thought provoking",1,0,"humanities",2,"no","I looked for bees with stripes and antenna",43,0,0,0,0
0,1,"","full_info",5,20,5,"bachelors",8,1.02,"male","",0,1,"mathscience",2,"no","",21,0,0,1,0
1,0,"Yes, after I realized which factors made the bees dangerous, I learned to avoid them.","full_info",3,20,5,"somecollege",10,0.98,"female","Interesting HIT!",0,1,"humanities",2,"no","I realized after a while that all the bees that had a combination of 2 legs and 2 antennae were the dangerous ones. This was through trial and error, so I was able to get a bigger bonus the second round.",57,0,0,1,0
0,0,"","contingent",4,10,4,"somecollege",9,1.36,"male","",0,1,"mathscience",2,"no","",54,1,0,1,0
0,0,"no","contingent",0,75,5,"bachelors",10,0.82,"male","this was great! thank you and good luck",0,1,"humanities",2,"no","I tried harvesting twice at first and found that the legs and wings were the key ",5,1,0,0,0
0,1,"no","contingent",5,30,7,"somecollege",8,1.18,"female","no",0,0,"mathscience",1,"no","Avoid all the spots",27,0,0,0,1
0,0,"Not really.","contingent",3,10,0,"highschool",8,1.26,"male","Was pretty fun.",0,1,"noresp",1,"no","Memorized the first 5 sets, realized that 6 legged bees were evil.  So I avoided those.",88,0,0,0,1
0,0,"No.","full_info",4,20,5,"masters",8,1.1,"male","",1,1,"engineering",2,"no","If they had double wings and no arms, dangerous.",93,1,0,1,0
1,0,"No.","full_info",3,50,7,"somecollege",5,0.98,"female","N/A",1,1,"humanities",2,"no","I noticed that some features, when paired together, were more likely to lead to a ""stung"" result, so I tried to avoid those combinations.",40,0,0,1,0
1,1,"no","full_info",4,50,8,"somecollege",10,1.24,"male","no",1,0,"other",2,"no","Avoid the bees with four wings",92,0,0,0,0
0,0,"I tried to keep several ideas in mind but they didn't seem to fit the pattern","contingent",0,20,6,"somecollege",5,-0.02,"male","None",0,0,"humanities",0,"no","I became distracted by someone coming to the door and couldn't get a read on the pattern during the practice round so I guess that by not answering I'd keep a default bonus...I was wrong.",80,0,0,0,0
0,0,"","contingent",4,50,3,"masters",5,1.16,"male","",0,1,"socialscience",1,"no","",98,0,0,0,1
1,0,"I couldn't keep track but noticed that most ""bad"" bees had no antennae, so I avoided those, even though some might have been friendly.","contingent",3,25,7,"bachelors",10,0.7,"female","Fun and frustrating!",0,1,"humanities",3,"no","I said the features aloud on hives to avoid",29,1,0,0,0
0,1,"Became more automatic since I figured out which were the good and bad bees.","full_info",2,5,2,"bachelors",10,1.5,"female","No",0,0,"socialscience",2,"no","I tried to see what qualities the bad bees had and noticed it was dots and double wings together.",3,1,0,1,0
0,1,"I pretty much kept the same strategy.","full_info",1,50,9,"bachelors",8,0.92,"male","A shorter period for teaching the participant the game would have sufficed.",0,0,"socialscience",2,"no","It seems that one or two features will give some indication of which bees are/ are not dangerous, so you have to pay attention to the features.",79,1,0,0,0
0,1,"No","contingent",1,25,2,"highschool",6,1.06,"male","No",0,0,"noresp",1,"no","Avoid spots",90,0,0,0,1
0,1,"No","full_info",5,25,4,"masters",10,1.02,"female",NA,0,0,"socialscience",2,"no","I took note of which characteristics resulted in me being ""stung"" and tried to remember them for later. ",33,1,0,0,0
0,1,"I didn't try to test to see if any of the stripe bees were friendly out of curiosity.","contingent",5,30,8,"somecollege",10,1.26,"female","I found this task to be very engaging and thought provoking.",0,0,"humanities",1,"no","After the first time I got strung, I found that all bees with dots on them were friendly versus questionable of bees with stripes on them.",18,0,0,0,1
0,0,"Not that I was aware.","full_info",0,25,9,"somecollege",7,0.06,"male","",5,1,"business",2,"no","I was just looking for double wings and more than two legs.",75,1,1,0,0
0,1,"","contingent",2,10,5,"somecollege",10,1.44,"female","",0,0,"other",2,"no","repeated the 4 features that stung me until I found some that matched",84,1,0,1,0
1,0,"Once I got the pattern and verified that it worked, I continued to use the same strategy for the rest of the game.","full_info",3,10,6,"doctor",10,1.28,"female","",1,1,"mathscience",2,"no","I was looking for patterns.",64,0,0,1,0
1,0,"No","contingent",3,45,2,"somecollege",8,1.12,"male","NO",0,0,"other",1,"no","If they had antennae I attemptedNo to collect if not I didn't ",69,0,0,0,1
0,0,"No","contingent",0,50,4,"masters",10,1.14,"male","I liked the task. Thanks!",3,0,"engineering",1,"no","At the beginning it was hard to decide the factors, so I tackled the different features to learn. After that, I figured out it is mainly about the wings of the bee; single=dangerous, and I went with that.",32,1,1,0,1
0,0,"no","contingent",5,10,5,"somecollege",10,0.82,"male","",0,1,"mathscience",2,"no","six legs and double wings were good, two legs were bad.",52,1,0,0,0
1,1,"I think I learned to recognize ""friends.""","full_info",2,35,8,"bachelors",7,1.08,"male","nope",0,0,"socialscience",3,"no","No real strategy.",101,1,0,0,0
0,1,"I didn't notice any change. ","contingent",4,70,5,"somecollege",9,0.78,"male","Nope. ",0,1,"engineering",2,"no","I had no strategy.",2,0,0,0,0
0,1,"got easier","contingent",1,53,7,"bachelors",10,0.7,"male","thanks!",1,1,"business",2,"no","Identified a few I knew and only harvested them",36,0,0,0,0
0,1,"it got easier as it went","full_info",5,20,4,"bachelors",9,1.4,"male","Thanks!",0,1,"humanities",2,"no","I just tried to remember the exact combo the first time I was stung, then used process of elimination with different traits till I figured it out",15,0,0,1,0
1,1,"no","full_info",0,20,7,"somecollege",8,0.66,"female","no",2,0,"humanities",2,"no","the dots and strips and no antennae were the primary things I looked for",58,0,0,0,0
1,1,"Yes. I saw I was failing miserably at the task and cut my losses at 20 cents.","contingent",2,62,10,"somegrad",9,0.2,"female","",0,1,"humanities",4,"no","I tried to keep track of everything in my head.",42,1,0,0,0
1,1,"","full_info",3,40,9,"doctor",9,0.54,"female","No",2,1,"mathscience",4,"no","No strategy really. I just tried to remember as I went.",66,1,0,0,0
0,1,"Towards the end I based my decision on whether or not the bee had spots or not, and then if it didnt I further had to examine more closely.","contingent",1,15,5,"masters",5,1.28,"female","nope",1,0,"humanities",1,"no","I memorized which bees were bad using numbers ex: 2,2,2,2  and 2,2,2,6 were bad bees",26,0,0,0,1
0,0,"no","contingent",3,45,2,"masters",8,1.26,"male","",0,1,"mathscience",1,"no","look at the characteristics of the first one and accept it.  Then try to eliminate from there ",6,0,0,0,1
0,1,"No once I figured out the pattern I did the same thing the whole time.","contingent",2,35,5,"somecollege",10,1.44,"female","It was fun!",0,0,"mathscience",2,"no","At first I accepted a couple to see which ones were dangerous and then realized the wings, and spots varied between dangerous and not. Antennae and legs didn't matter.",91,1,0,1,0
1,0,"No","contingent",0,50,2,"somecollege",9,1.26,"female","N/A",0,0,"business",1,"no","I noticed within the first few bee selections that both wing types, both types of body markings, and both leg quantities did NOT sting me, and that the presence of antennae of the one that stung me must be the feature to avoid.",82,0,0,0,1
0,1,"No. Nothing changed.","full_info",2,30,4,"somecollege",7,1.16,"female","no comment",0,0,"other",2,"no","Through trial and error figured out which traits combined were bad ones.",61,1,0,1,0
0,0,"no","contingent",5,35,8,"bachelors",6,0.76,"female","no",0,1,"humanities",1,"no","I decided not to check any hives with a bee that had 6 legs",89,0,0,0,1
0,0,"no","full_info",5,20,4,"somecollege",7,0.92,"female","no, thanks",1,1,"noresp",1,"no","not really, just trial and error",9,0,0,0,1
0,0,"No.","full_info",0,50,10,"bachelors",10,0.28,"female","No.",0,0,"humanities",1,"no","I just went for the bees with double wings.",53,1,0,0,1
1,0,"It seemed like some bees who didn't sting earlier stung later in the game. But I cannot be certain. ","full_info",4,25,8,"somecollege",6,-0.32,"male","",0,1,"noresponse",3,"no","",85,1,0,0,0
0,0,"The longer I played, the more I relied on my instincts.","contingent",4,25,3,"somegrad",8,0.94,"female","",0,1,"humanities",2,"no","",81,1,0,1,0
1,0,"Yes, once I learned which bees were bad I was able to accurately complete the study. ","full_info",3,25,5,"somecollege",7,1.58,"male","No. ",0,1,"noresp",2,"no","Paying attention to the features of the bad bees and using those to rule out which I got honey from",97,0,0,1,0
0,0,"No.","full_info",4,50,8,"highschool",10,1.12,"female","No.",1,0,"noresp",1,"no","Tried to pay attention and notice patterns.",87,1,0,0,1
1,0,"no","full_info",1,35,7,"highschool",10,1.14,"female","no",4,0,"noresp",1,"no","I judged by the antennae. It seemed like all of the friendly bees had no antennae.",95,0,1,0,1
1,1,"It got easier.","full_info",1,5,3,"somecollege",9,1.1,"female","Fun!!!!!",1,0,"noresp",2,"no","I just paid attention as to which bees were dangerous and memorized their body parts.",34,0,0,1,0
1,0,"Once I figured out what traits dangerous bees had, I stopped guessing.","full_info",0,25,3,"somegrad",5,1.38,"female","Fun study.",0,0,"mathscience",2,"no","I watched for specific traits and determined which ones dangerous bees had.",28,1,0,1,0
0,0,"no","contingent",0,35,6,"somecollege",10,1.08,"female","it was fun thsnks",1,0,"socialscience",1,"no","i noticed double wings seemed to sting",71,1,0,0,1
1,1,"No.","full_info",5,25,4,"somecollege",9,0.78,"female","It was hard for me to remember the dangerous ones.",1,0,"socialscience",2,"no","",96,0,0,0,0
1,1,"No, not really","full_info",4,40,8,"masters",8,0.42,"male","Thanks, that was fun. Would have been more fun it I did better",0,1,"business",4,"no","I just did my best to try to remember.",30,1,0,0,0
0,0,"no","contingent",1,40,10,"somecollege",8,0.02,"male","",2,0,"engineering",1,"no","",37,1,0,0,0
0,1,"Nope.","full_info",2,10,0,"bachelors",7,1.72,"male","Nope.",2,0,"engineering",2,"no","Just guessed for the first couple and tried making any connection I could. Thankfully the first one I thought of happened to be correct (assuming the ones with the spots and/or single wings were safe).",22,1,0,1,0
1,0,"no","contingent",3,40,9,"somecollege",8,0.44,"female","no",0,1,"engineering",2,"no","purely guessing",70,0,0,1,0
0,1,"Nothing changed during the experiment.","contingent",5,3,4,"bachelors",9,1.28,"male","",0,1,"humanities",2,"no","I tried to make mental notes for the similarities between the dangerous bees and the friendly varieties in order to make up standards for the types.",35,0,0,1,0
1,1,"No.","contingent",4,40,10,"bachelors",10,-0.02,"female","N/A",0,1,"engineering",4,"yes","I would write down the descriptions of the dangerous bees. ",63,1,1,0,0
0,1,"no","contingent",2,25,2,"somecollege",7,1.26,"male","n/a",1,0,"other",1,"no","just avoided any bees with stripes",24,0,0,0,1
0,0,"No","full_info",1,50,3,"somegrad",6,-0.2,"male","No",0,0,"mathscience",0,"no","I couldnt figure it out. ",46,0,0,0,0
1,0,"I slowed down and thought about my choices after a few stings. ","contingent",2,15,9,"masters",10,-0.02,"female","Interesting. I'm still curious as to what characteristics were the mean bees.",1,1,"humanities",2,"no","I used trial and error to figure out the bees but I am still unsure of what the defining attributes were. ",77,0,0,0,0
1,1,"I really tried to distinguish between each feature whether it was going to be dangerous or not. In this case, I found double wings with stripes to be more of a dangerous combination.","full_info",1,25,9,"somecollege",10,1.04,"female","I thought it was very creative and fun.",0,1,"noresp",4,"no","I didn't have a particular strategy, but I started noticing some patterns with the bees.",49,1,0,0,0
0,1,"As I moved through the game, I found it easier to identify the stinging bees from memory, and avoid them.","full_info",5,20,4,"somecollege",9,1.38,"male","",0,1,"other",2,"yes","Start by taking chances one the rounds where it tells you what bee will sting you or not. if I got stung, I tried to remember all the details of that bee type so I could avoid it later. Once I recognized that certain characteristics made a bee safe, I would always harvest from it.",13,0,1,1,0
0,1,"No, not really.","contingent",1,30,7,"bachelors",8,1.18,"male","",0,0,"business",1,"no","I tried to harvest everything at first; I remembered which ones stung me and avoided those in the rest of the game.",86,0,0,0,1
1,0,"I realized the trend about half?way in, tested the theory mentally then progressed from there","full_info",3,25,7,"bachelors",10,1.2,"male","Six legs looks creepy and i was less likely to choose them.  You should have cuter features be mean.",2,1,"engineering",2,"no","Tried to look for trends in the features when stingers showed up.",73,0,0,1,0
0,0,"At first I tried to go through and knock off one by one each trait but then it turned into trial and error till I found what worked","contingent",4,56,7,"somecollege",10,1.06,"female","",0,1,"mathscience",1,"no","",76,0,0,0,1
0,1,"no, i did not notice, other than the 2nd half where everything was not shown to me, bonuses and whether a bee was friendly or not","full_info",2,30,5,"highschool",10,1.58,"male","no thoughts, other than it was a fun task",1,0,"noresponse",1,"no","I noticed that the spotted belly bees were the ones that were dangerous, so I avoided most of them. only one spotted belly bee was friendly",55,0,0,0,1
0,1,"No.","contingent",3,35,7,"doctor",9,0.8,"male","No.",4,1,"humanities",2,"no","",48,0,1,0,0
1,1,"got more conservative as I earned more","contingent",0,60,4,"bachelors",8,0.5,"male","no",0,1,"business",3,"no","Got to a bonus I wanted, then played it safe by selecting only the ones I was sure of.",7,0,0,0,0
0,0,"Yes, I changed to the above strategy for the 2nd part.","full_info",4,30,9,"doctor",8,0.72,"male","no",0,1,"socialscience",1,"no","After making a few errors, I decided to concentrate on 6 legs == harvest OTHERWISE avoid",4,0,0,0,1
0,1,"no not really","contingent",5,20,3,"bachelors",8,1.6,"male","No",0,1,"engineering",2,"no","I tried to mentally note common features on bees that stung and then avoid them",14,0,0,1,0
0,0,"no","full_info",0,20,10,"bachelors",2,0.3,"female","",0,0,"business",0,"no","I had no strategies, I knew I'd never be able to figure out which bees were dangerous. I tried once and when I lost money I just gave up after that and avoided everything. I'm really bad with risks.",20,0,0,0,0
0,0,"no","contingent",4,60,9,"bachelors",8,0.56,"male","no",0,1,"noresponse",1,"no","I think it had to do with how many legs they had, but I didn't really realize til close to the end.",38,0,0,0,1
0,0,"sometimes there was no picture of the bee. Made it more difficult.","contingent",5,60,5,"somecollege",8,0.58,"female","",0,1,"business",2,"no","guessing",51,1,0,0,0
0,0,"I found myself to be able to recognize them much easier","full_info",4,20,7,"bachelors",9,1.26,"male","Great task! Lots of fun.",0,1,"other",2,"no","Use the characteristics previously describe to differentiate between good and bad bees.",12,1,0,1,0
1,0,"no","contingent",3,-50,5,"highschool",10,1.14,"male","",0,0,"noresp",1,"no","I noticed antennae were giving me money and no antennae were giving me penalties. I saw that at the first 2 selections.",45,0,0,0,1
0,1,"No","full_info",1,40,5,"somecollege",10,0.42,"female","Thank you!",2,1,"humanities",3,"no","I did not have a particular strategy. I just tried my best.",78,1,0,0,0
