CASE;SERIAL;REF;QUESTNNR;MODE;DO07_01;TIME001;TIME002;TIME004;TIME005;TIME_SUM;MAILSENT;FINISHED;LASTPAGE;MAXPAGE;MISSING;MISSREL;DEG_MISS;DEG_TIME;DEGRADE
422; ;60;sek_AS_israel3;interview;15;22;8;46; ;76; ;1;4;4;0;0;0;18;18
423; ;57;sek_AS_israel3;interview;20;18;9;25; ;52; ;1;4;4;0;0;0;37;37
425; ;56;sek_AS_israel3;interview;50;32;13; ;84;129; ;1;5;5;0;0;0;0;0
426; ;59;sek_AS_israel3;interview;10;17;10;12; ;39; ;1;4;4;33;33;99;81;180
427; ;61;sek_AS_israel3;interview;25;14;13;109; ;136; ;1;4;4;0;0;0;12;12
428; ;62;sek_AS_israel3;interview;50;20;14; ;90;124; ;1;5;5;0;0;0;3;3
429; ;63;sek_AS_israel3;interview;25;26;11;51; ;88; ;1;4;4;0;0;0;6;6
430; ;69;sek_AS_israel3;interview;25;35;16;90; ;141; ;1;4;4;0;0;0;0;0
432; ;70;sek_AS_israel3;interview; ;18;17;128; ;163; ;1;4;4;33;31;93;6;99
433; ;71;sek_AS_israel3;interview;5;25;10;78; ;113; ;1;4;4;0;0;0;5;5
434; ;72;sek_AS_israel3;interview; ;32;24;197; ;253; ;1;4;4;33;31;93;0;93
436; ;75;sek_AS_israel3;interview;20;24;12;39; ;75; ;1;4;4;0;0;0;11;11
437; ;74;sek_AS_israel3;interview;20;57;19;40; ;116; ;1;4;4;0;0;0;9;9
439; ;73;sek_AS_israel3;interview;20;24;18;188; ;230; ;1;4;4;0;0;0;0;0
440; ;79;sek_AS_israel3;interview;25;15;10;315; ;87; ;1;4;4;0;0;0;15;15
441; ;80;sek_AS_israel3;interview; ;7;26;49; ;82; ;1;4;4;33;31;93;45;138
442; ;83;sek_AS_israel3;interview;20;15;11;45; ;71; ;1;4;4;0;0;0;19;19
443; ;78;sek_AS_israel3;interview; ;13;12;55; ;80; ;1;4;4;33;31;93;17;111
444; ;82;sek_AS_israel3;interview;25;22;13;67; ;102; ;1;4;4;0;0;0;2;2
445; ;84;sek_AS_israel3;interview;10;31;23;38; ;92; ;1;4;4;0;0;0;10;10
446; ;85;sek_AS_israel3;interview; ;22;13;60; ;95; ;1;4;4;33;31;93;2;95
447; ;86;sek_AS_israel3;interview;40;27;10;28; ;65; ;1;4;4;0;0;0;25;25
449; ;87;sek_AS_israel3;interview;0;28;23;40; ;91; ;1;4;4;0;0;0;9;9
450; ;88;sek_AS_israel3;interview;25;82;22;401; ;108; ;1;4;4;0;0;0;0;0
451; ;93;sek_AS_israel3;interview;25;21;10;45; ;76; ;1;4;4;33;33;99;13;112
454; ;96;sek_AS_israel3;interview;25;40;24;21; ;85; ;1;4;4;33;33;99;32;131
455; ;95;sek_AS_israel3;interview;2;54;13;16; ;83; ;1;4;4;0;0;0;47;47
456; ;98;sek_AS_israel3;interview;25;45;17;283; ;124; ;1;4;4;0;0;0;0;0
457; ;97;sek_AS_israel3;interview;35;71;10;152; ;186; ;1;4;4;0;0;0;5;5
458; ;99;sek_AS_israel3;interview; ;13;15;77; ;105; ;1;4;4;33;31;93;14;107
459; ;100;sek_AS_israel3;interview;5;228;31;286; ;117; ;1;4;4;0;0;0;0;0
