CASE;SERIAL;REF;QUESTNNR;MODE;R001_01;R001_02;R001_03;R001_04;R001_05;R001_06;R001_07;R001_08;R001_09;R001_10;R001_11;R001_12;R002_01;R002_02;R002_03;R002_04;R002_05;R002_06;R002_07;R002_08;R002_09;R002_10;R002_11;R002_12;R003_01;R003_02;R003_03;R003_04;R003_05;R003_06;R003_07;R003_08;R003_09;R003_10;R003_11;R003_12;R004_01;R004_02;R004_03;R004_04;R004_05;R004_06;R004_07;R004_08;R004_09;R004_10;R004_11;R004_12;R005_01;R005_02;R005_03;R005_04;R005_05;R005_06;R005_07;R005_08;R005_09;R005_10;R005_11;R005_12;R006_01;R006_02;R006_03;R006_04;R006_05;R006_06;R006_07;R006_08;R006_09;R006_10;R006_11;R006_12;R007_01;R007_02;R007_03;R007_04;R007_05;R007_06;R007_07;R007_08;R007_09;R007_10;R007_11;R007_12;R008_01;R008_02;R008_03;R008_04;R008_05;R008_06;R008_07;R008_08;R008_09;R008_10;R008_11;R008_12;CO01;CO02;DE02;TIME001;TIME002;TIME003;TIME004;TIME005;TIME006;TIME007;TIME008;TIME009;TIME010;TIME011;TIME012;TIME_SUM;MAILSENT;FINISHED;LASTPAGE;MAXPAGE;MISSING;MISSREL;DEG_MISS;DEG_TIME;DEGRADE;jhol_warmth;jhol_comp;chol_warmth;chol_comp;jctr_warmth;jctr_comp;cctr_warmth;cctr_comp;age_groups
137; ; ;as_rcic4;interview;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;-9;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;1;1;23;11;22;38;19;21;24;12;27;9;30; ;236; ;0;11;11;1;1;20;25;45;3;3;3;3;3;3;3;3;1
139; ; ;as_rcic4;interview;5;5;5;4;4;5;1;5;5;5;5;5;3;4;5;5;5;5;5;5;5;1;5;5;5;5;5;4;5;5;5;5;5;1;4;5;3;4;4;4;4;5;4;4;5;4;4;4;5;5;5;5;5;5;5;5;5;1;5;5;3;3;3;4;4;5;5;5;5;1;4;3;5;5;5;4;4;4;5;5;5;4;4;5;5;3;4;4;4;5;5;5;5;2;5;5;2;1;1;4;8;17;14;11;16;11;11;11;11;9;8;131; ;1;12;12;0;0;0;63;63;5;5;3,25;5;4,75;4,75;4;5;2
153; ; ;as_rcic4;interview;3;2;3;3;3;3;4;4;4;4;3;2;2;2;2;1;1;2;2;3;2;3;2;3;3;2;2;3;2;2;2;3;3;3;3;2;1;2;2;3;2;3;2;4;4;4;2;3;2;2;2;2;2;3;3;4;4;3;2;3;3;3;3;4;3;3;4;3;4;2;4;3;1;2;2;2;1;2;2;4;3;3;2;1;3;2;3;3;3;2;3;3;4;2;3;4;2;1;2;104;386;17;19;74;17;17;50;20;16;9;12;232; ;1;12;12;0;0;0;24;24;2;3,5;3,25;3,5;1,75;2,75;2,75;3;2
154; ; ;as_rcic4;interview;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;3;4;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;1;2;6;20;29;21;15;13;14;13;18;19;19;36;223; ;1;12;12;0;0;0;26;26;3;3;3;3;3;3;3;3;2
158; ; ;as_rcic4;interview;4;3;4;4;4;5;5;4;4;3;3;5;4;3;4;3;4;5;3;3;3;3;4;5;3;3;3;4;3;4;4;4;4;3;3;5;4;4;4;3;4;4;4;3;3;3;4;5;3;3;4;4;4;4;4;3;4;4;3;5;2;3;3;3;4;4;4;4;4;3;3;5;2;2;2;3;2;4;4;5;5;2;2;5;3;3;3;4;3;4;4;3;4;2;4;5;2;1;2;4;29;53;30;37;47;40;27;25;33;28; ;353; ;0;11;11;0;0;0;5;5;3,5;3,75;2,75;4;2,25;4,5;3,25;3,75;1
161; ; ;as_rcic4;interview;2;2;2;3;2;3;3;4;4;2;3;3;3;2;3;3;2;3;2;3;2;2;3;3;2;2;4;2;2;3;2;4;4;2;2;3;2;3;3;2;3;3;2;2;2;2;3;3;2;2;2;2;2;3;3;3;2;4;2;3;3;3;3;3;3;3;3;2;2;2;3;3;2;2;2;2;2;2;3;2;3;3;3;3;2;2;2;3;2;3;3;4;3;2;2;2;2;1;1;40;39;40;41;32;43;35;37;51;31;38;65;443; ;1;12;12;0;0;0;0;0;2;2,75;3;2,5;2;2,5;2,25;3,25;3
164; ; ;as_rcic4;interview;3;3;3;3;3;3;3;4;4;2;3;3;4;3;3;3;4;4;3;3;4;2;4;3;3;3;3;3;3;3;3;3;4;2;3;3;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;3;3;2;3;3;3;3;4;4;2;3;3;4;3;3;3;4;4;4;3;4;2;4;3;3;3;3;3;3;3;3;3;4;2;3;3;-9;3;3;3;4;4;4;3;4;3;4;3;2;1;1;5;11;33;1;27;27;23;24;20;19;146;365;228; ;1;12;12;13;13;259;52;312;2,75;3,5;3,25;3,75;3;3,25;3;3,75;3
168; ; ;as_rcic4;interview;3;3;3;3;3;3;3;4;4;3;3;4;3;3;3;3;3;3;4;4;4;3;3;4;3;3;3;3;3;3;4;4;4;3;3;4;3;3;3;3;3;3;4;4;4;3;3;3;3;3;3;3;3;3;4;3;4;3;3;4;3;3;3;3;3;3;3;4;4;3;3;4;3;3;3;3;3;3;4;4;4;3;3;4;3;3;3;3;3;3;4;4;4;3;3;4;2;1;1;16;18;39;30;27;25;31;39;36;38;36;18;353; ;1;12;12;0;0;0;1;1;3;3,5;3;3,5;3;3,75;3;3,75;3
170; ; ;as_rcic4;interview;3;3;3;4;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;2;4;3;2;2;3;2;3;2;3;3;3;2;2;2;4;4;4;4;4;4;4;3;3;3;5;4;3;2;2;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;4;3;2;3;3;2;2;3;2;3;3;3;3;2;2;3;3;3;3;2;3;3;3;3;3;3;2;3;2;1;1;26;33;33;25;18;25;20;15;16;20;12;9;252; ;1;12;12;0;0;0;20;20;2,5;3;3;3,25;2,5;3;2,75;3;2
176; ; ;as_rcic4;interview;5;3;5;5;3;4;1;5;4;5;5;4;4;4;3;2;3;3;4;4;5;1;3;4;2;4;3;3;5;1;3;2;5;4;5;3;2;4;3;3;5;4;1;4;2;5;3;3;3;4;4;2;5;4;3;1;4;4;5;2;3;2;5;4;5;2;1;4;3;3;5;4;5;4;1;4;4;2;4;4;2;3;4;3;3;1;1;4;5;1;1;4;2;2;5;4;2;1;1;3;4;15;16;12;10;16;15;25;16;18; ;150; ;0;11;11;0;0;0;61;61;3,25;3;3,5;2,5;3,5;3;2,25;2;3
177; ; ;as_rcic4;interview;4;3;4;4;4;4;4;3;4;4;4;4;4;3;4;3;3;2;3;3;2;2;3;4;2;2;2;3;2;3;3;3;3;3;2;2;4;3;4;3;3;4;4;3;3;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;3;3;3;2;2;2;2;1;1;26;18;63;43;70;86;27;56;25;49;27;13;445; ;1;12;12;0;0;0;2;2;4;4;2;2;3;3;2;2,75;1
180; ; ;as_rcic4;interview;3;2;2;2;3;3;3;4;4;4;2;2;3;2;3;4;3;3;3;4;4;4;2;3;3;2;3;2;3;3;3;4;4;4;2;3;3;2;2;2;3;3;3;4;4;4;2;4;3;2;2;2;3;3;3;4;4;4;2;3;3;2;3;2;3;3;3;4;4;4;2;2;3;2;2;2;3;3;3;4;4;4;2;3;3;2;3;3;3;3;3;4;4;4;2;3;2;1;1;14;21;47;36;40;37;34;43;37;66;23;14;372; ;1;12;12;0;0;0;1;1;2,25;3,5;2,5;3,5;2,25;3,5;2,75;3,5;2
183; ; ;as_rcic4;interview;1;1;1;-9;1;3;3;4;4;4;1;1;1;1;1;1;1;3;1;1;3;3;1;3;1;1;1;1;1;3;1;1;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;3;2;2;2;3;2;2;2;1;4;1;3;3;2;3;1;2;3;1;2;1;2;13;32;54;31;37;28;42;25;19;23;43;27;374; ;1;12;12;1;1;20;2;22;1;1;1;1;1;2,25;2;2,25;3
185; ; ;as_rcic4;interview;4;5;4;4;4;3;4;3;5;4;3;5;3;3;3;2;4;2;2;3;2;2;4;2;3;4;4;4;3;3;3;2;5;2;2;5;4;4;4;4;4;4;4;5;4;3;4;5;3;5;2;4;2;3;4;3;5;3;4;3;2;1;3;3;2;2;1;3;3;3;3;2;3;1;3;1;2;4;2;4;4;3;2;1;2;3;2;3;2;4;4;4;4;1;2;4;2;1;1;15;15;39;52;45;41;31;33;42;32;24;19;388; ;1;12;12;0;0;0;1;1;3,5;3,75;2,25;2,25;2;3,5;2,5;4;1
188; ; ;as_rcic4;interview;3;3;2;2;2;3;2;2;2;2;3;3;3;3;4;2;2;3;3;3;3;2;2;4;3;3;2;3;2;4;4;2;2;4;3;2;4;4;2;2;3;3;2;3;3;4;2;3;3;2;3;4;3;3;2;2;4;3;2;4;2;4;3;3;3;2;4;3;4;2;3;2;3;2;4;3;2;2;2;3;3;2;2;3;2;4;2;4;4;2;3;2;3;3;4;2;2;1;1;2;35;18;14;15;37;16;13;15;18;22;6;211; ;1;12;12;0;0;0;45;45;3;2,75;3;3,25;3;2,5;3;2,5;1
197; ; ;as_rcic4;interview;1;2;2;2;2;2;2;3;3;2;1;4;2;2;2;2;2;2;3;3;3;1;2;3;1;2;2;2;2;2;3;3;2;1;3;2;2;2;2;2;2;2;3;2;3;3;1;2;2;2;2;2;1;2;3;3;2;1;2;2;2;1;2;2;2;2;3;3;3;1;2;2;2;2;2;2;2;2;3;3;2;1;3;3;1;2;2;2;1;2;2;3;2;2;1;2;2;1;2;5;13;43;34;25;32;39;24;30;47;32;26;350; ;1;12;12;0;0;0;6;6;2;2,5;1,75;2,75;2;2,5;1,75;2,25;2
198; ; ;as_rcic4;interview;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;4;4;3;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;2;1;1;4;22;20;20;12;19;17;12;18;13;20;379;193; ;1;12;12;0;0;0;32;32;3;3;4;4;3;3;4;4;3
199; ; ;as_rcic4;interview;2;1;1;2;2;2;1;3;4;2;2;2;2;1;2;3;1;2;1;3;4;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;1;2;2;1;1;2;2;2;1;1;2;2;1;2;2;1;2;2;4;4;1;2;2;2;2;1;2;2;2;3;4;4;2;1;2;2;2;2;2;2;1;1;4;4;2;2;2;2;2;1;2;1;2;2;2;4;2;2;3;2;1;2;2976;18;42;35;45;84;20;21;20;22;18;108;293; ;1;12;12;0;0;0;6;6;1,75;3;1,75;3,25;2;2,5;1,75;2,5;1
207; ; ;as_rcic4;interview;5;5;5;5;5;5;5;5;5;5;4;5;2;1;2;2;-9;3;2;2;3;1;2;4;3;3;2;4;3;3;3;3;2;2;3;3;4;3;3;3;3;4;3;4;3;3;4;4;5;4;4;4;5;5;4;4;4;3;4;4;3;1;3;3;3;2;2;4;1;2;3;2;4;2;2;3;4;4;3;4;3;2;4;5;2;3;2;3;2;3;3;3;3;2;2;4;2;1;1;7;16;44;44;47;43;41;63;59;32;23;15;434; ;1;12;12;1;1;20;2;21;4,25;4,25;2,5;2,25;2,75;3,5;2,5;3;1
212; ; ;as_rcic4;interview;3;3;3;3;3;3;4;4;5;3;3;3;3;3;3;3;3;3;4;4;5;3;3;3;3;3;3;3;3;4;4;4;5;4;3;4;3;3;3;3;3;3;4;5;5;3;3;4;3;3;4;3;3;3;3;4;5;3;3;3;3;3;3;3;3;3;3;5;5;4;3;3;3;3;3;3;3;4;3;5;5;4;3;3;3;2;3;3;3;3;4;4;3;3;3;3;2;1;1;7;636;33;29;19;22;23;19;20;23;32;16;262; ;1;12;12;0;0;0;9;9;3,25;3,75;3;4;3;4,25;2,75;3,5;1
222; ; ;as_rcic4;interview;-9;3;3;3;3;3;4;4;3;3;4;4;3;3;3;3;3;3;3;3;4;3;3;2;2;2;2;2;2;2;2;3;3;2;2;2;2;2;2;2;2;4;3;4;4;3;2;2;3;3;3;2;2;3;3;4;4;3;3;3;2;2;2;2;2;3;3;4;4;2;2;2;3;2;2;2;3;2;3;4;4;2;2;-9;3;3;4;3;4;4;4;4;4;3;3;4;2;1;2;12;40;43;45;45;38;31;39;41;33;21;26;414; ;1;12;12;2;2;40;0;40;2,75;3,5;2;3,5;2,25;3,25;3,25;4;3
227; ; ;as_rcic4;interview;2;2;4;4;3;3;3;4;4;4;4;3;3;3;4;2;4;4;3;4;2;3;3;5;2;3;3;3;3;3;3;4;2;1;3;4;2;2;3;1;3;3;4;3;3;2;2;2;2;2;2;3;3;4;4;4;4;4;2;2;3;2;3;4;3;4;4;-9;4;2;3;3;3;2;3;4;4;3;3;2;2;2;4;4;2;3;4;3;3;4;5;4;2;3;3;4;2;1;2;21;22;36;25;26;28;24;28;23;32;39;19;323; ;1;12;12;1;1;20;2;22;2,25;4;3;4;3;2,5;3;3,75;2
228; ; ;as_rcic4;interview;2;3;4;3;3;3;4;4;5;2;5;3;5;4;4;4;4;3;3;3;3;3;3;3;4;3;5;4;3;2;3;3;2;4;3;2;4;3;2;3;4;4;4;4;4;2;4;4;3;3;3;3;4;2;3;3;2;4;4;3;2;3;2;3;2;3;2;3;3;4;2;2;3;4;2;4;3;2;2;2;1;2;3;2;4;-9;4;4;4;3;5;5;4;2;3;4;2;1;2;3;8;34;32;41;36;35;50;48;38;21;9;355; ;1;12;12;1;1;20;16;36;3;2,5;2,5;2,75;3,25;1,75;4;4,25;1
230; ; ;as_rcic4;interview;4;4;4;4;4;4;4;3;3;4;4;4;3;2;4;3;4;3;4;2;2;2;4;5;2;2;2;2;2;3;2;4;3;1;1;2;2;2;2;2;2;4;4;5;4;1;2;4;2;1;3;2;2;4;4;4;3;2;2;4;4;4;5;4;4;4;4;4;2;4;3;5;2;2;2;3;4;4;4;5;4;2;2;4;1;2;2;3;3;3;2;4;4;1;3;4;2;1;1;16;16;36;36;35;46;36;39;38;38;17;9;362; ;1;12;12;0;0;0;5;5;2;3,75;4,25;3,5;2,25;4,25;2;3,25;1
231; ; ;as_rcic4;interview;4;3;4;4;4;4;4;3;4;4;4;4;3;2;3;3;3;4;3;4;4;2;3;3;3;2;3;4;2;5;3;4;4;3;2;4;4;4;3;4;4;4;4;4;4;3;4;4;4;4;3;4;4;3;4;4;4;3;3;4;3;2;2;4;4;4;4;4;3;3;3;4;2;2;3;3;2;4;3;4;4;3;3;3;4;3;4;3;3;4;4;4;4;4;4;3;2;1;1;3;14;44;38;31;31;36;35;32;43;28;19;354; ;1;12;12;0;0;0;8;8;3,75;3,75;2,75;3,75;2,5;3,75;3,5;4;3
233; ; ;as_rcic4;interview;1;2;2;2;1;3;2;3;2;2;1;2;2;1;1;3;1;3;2;2;1;2;2;3;1;1;1;1;1;1;1;1;1;1;1;1;2;2;3;3;1;2;2;2;2;3;3;2;1;1;2;1;1;1;2;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;2;2;1;1;1;1;1;2;2;2;2;2;1;2;2;2;1;1;2;4;2;1;1;4;22;64;54;46;36;50;49;17;16;19;34;411; ;1;12;12;0;0;0;9;9;1,25;2;1;1;1,5;1,25;2;1,75;3
235; ; ;as_rcic4;interview;3;3;2;3;3;3;3;4;3;4;2;4;2;2;2;3;4;2;3;3;3;3;4;2;3;3;3;3;2;2;4;5;4;3;3;4;2;2;1;3;2;2;3;4;3;2;2;2;4;4;4;3;4;4;3;3;4;2;4;5;4;2;4;3;3;4;3;3;4;2;3;3;3;1;2;3;2;2;3;3;2;1;3;4;3;3;3;3;4;3;4;4;4;4;3;3;2;1;2;9;27;47;48;40;33;52;43;44;41;24;48;456; ;1;12;12;0;0;0;0;0;3,75;3,5;3,25;3,5;2,25;2,5;3;3,75;2
245; ; ;as_rcic4;interview;5;5;5;5;5;3;5;4;5;3;5;5;2;2;2;2;3;2;2;3;4;2;2;2;2;2;2;2;2;2;2;4;4;2;2;2;4;3;4;3;4;3;4;4;4;2;3;4;4;4;4;4;4;3;4;4;4;3;4;4;2;3;3;2;2;3;3;4;4;2;2;2;1;1;1;1;1;1;1;4;4;1;1;1;4;4;4;4;4;-9;4;4;5;2;4;4;2;1;1;87;32;41;29;32;24;22;24;28;24;19;29;312; ;1;12;12;1;1;20;4;24;4;3,75;2,5;3,5;1;2,5;4;4,33333333333333;1
