num,first_author,title,finding_id,finding_type,severity,status,message,links
2020-26,Hebart,Revealing the multidimensional mental representations of natural objects underlying human similarity judgements,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://osf.io/z2784,https://osf.io/z2784
2020-27,Chiu,State-level needs for social distancing and contact tracing to contain COVID-19 in the United States,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://github.com/wachiuphd/COVID-19-Bayesian-SEIR-US,https://github.com/wachiuphd/COVID-19-Bayesian-SEIR-US
2020-28,Park,"Learning is inhibited by heat exposure, both internationally and within the United States",F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: The weather data that support the findings of this study are available from the ...",
2020-29,Agam,Estimating temperatures of heated Lower Palaeolithic flint artefacts,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://github.com/fnatalio/QesemCave-UVRaman. https://github.com/fnatalio/QesemCave-UVRaman,https://github.com/fnatalio/QesemCave-UVRaman. https://github.com/fnatalio/QesemCave-UVRaman https://zenodo.org/record/1168730#.X2RhemgzYuU
2020-30,Cuellar-Partida,Genome-wide association study identifies 48 common genetic variants associated with handedness,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: GWAS summary statistics of the meta-analysis of the UKBB, IHC and 23andMe data f...",
2020-31,Fischer,Auditing local news presence on Google News,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://osf.io/hwuxf https://osf.io/hwuxf/?view_only=3fa7499661df487689031e11b8ea20b4,https://osf.io/hwuxf https://osf.io/hwuxf/?view_only=3fa7499661df487689031e11b8ea20b4
2020-33,Underwood,The effectiveness of plain packaging in discouraging tobacco consumption in Australia,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: The data that support the findings of this study are available from https://data...",
2020-34,Lisi,Discrete confidence levels revealed by sequential decisions,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://osf.io/w74cn/ https://osf.io/w74cn,https://osf.io/w74cn/ https://osf.io/w74cn
2020-36,Schurgin,Psychophysical scaling reveals a unified theory of visual memory strength,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://osf.io/j2h65 https://osf.io/j2h65/?view_only=fdd51dd775a945508c7cbbf25b662692,https://osf.io/j2h65 https://osf.io/j2h65/?view_only=fdd51dd775a945508c7cbbf25b662692 https://doi.org/10.31234/osf.io/c4t92
2020-37,Gotz,Physical topography is associated with human personality,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://osf.io/y2mdw https://osf.io/y2mdw/,https://osf.io/y2mdw https://osf.io/y2mdw/
2020-38,de la Fuente,A general dimension of genetic sharing across diverse cognitive traits inferred from molecular data,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://github.com/MichelNivard/GenomicSEM/wiki,https://github.com/MichelNivard/GenomicSEM/wiki
2020-39,Melnikoff,The automatic influence of advocacy on lawyers and novices,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://osf.io/ewv2a/ https://osf.io/ewv2a,https://osf.io/ewv2a/ https://osf.io/ewv2a
2020-40,Steyvers,Inferring latent learning factors in large-scale cognitive training data,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://osf.io/g9zkf,https://osf.io/g9zkf
2020-41,Trudel,Polarity of uncertainty representation during exploration and exploitation in ventromedial prefrontal cortex,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://osf.io/d5qzw https://osf.io/d5qzw/?view_only=037ea3b875914623a06999cef97ac57f,https://osf.io/d5qzw https://osf.io/d5qzw/?view_only=037ea3b875914623a06999cef97ac57f
2020-42,Zhou,Realistic modelling of information spread using peer-to-peer diffusion patterns,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://github.com/bnzu/main-code-of-rmis,https://github.com/bnzu/main-code-of-rmis
2020-43,Allen,"Population-scale longitudinal mapping of COVID-19 symptoms, behaviour and testing",F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://github.com/weallen/HWFPaper20. https://github.com/weallen/HWFPaper20,https://github.com/weallen/HWFPaper20. https://github.com/weallen/HWFPaper20
2020-44,van Ham,"Changing occupational structures and residential segregation in New York, London and Tokyo",F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: The main data used in our study are national census data for the United States, ...",
2020-45,Thompson,Cultural influences on word meanings revealed through large-scale semantic alignment,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://osf.io/tngba https://osf.io/tngba/,https://osf.io/tngba https://osf.io/tngba/
2020-46,Coscia,Knowledge diffusion in the network of international business travel,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: The aggregated and anonymized dataset made accessible by the Mastercard Center f...",
2020-48,Lewis,Gender stereotypes are reflected in the distributional structure of 25 languages,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://osf.io/pcjwf https://osf.io/pcjwf/,https://osf.io/pcjwf https://osf.io/pcjwf/ https://doi.org/10.31234/osf.io/fcrmy https://github.com/mllewis/IATLANG
2020-49,Lin,"Evidence of general economic principles of bargaining and trade from 2,000 classroom experiments",F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://osf.io/9mfws/ https://osf.io/9mfws,https://osf.io/9mfws/ https://osf.io/9mfws
2020-50,Chambon,Information about action outcomes differentially affects learning from self-determined versus imposed choices,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://github.com/spalminteri/agency,https://github.com/spalminteri/agency
2020-51,de Souza,Epidemiological and clinical characteristics of the COVID-19 epidemic in Brazil,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: Datasets of clinical and laboratory data presented in the current study from the...",
2020-52,Leckey,Response latencies and eye gaze provide insight on how toddlers gather evidence under uncertainty,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://osf.io/t8p4g https://osf.io/t8p4g/,https://osf.io/t8p4g https://osf.io/t8p4g/
2020-53,Betti,"Climate shaped how Neolithic farmers and European hunter-gatherers interacted after a major slowdown from 6,100 bce to 4,500 bce",F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://osf.io/2hcqr/?view_only=c06b3949770549379ff7e5e4eceaf876 https://osf.io/2hcqr,https://osf.io/2hcqr/?view_only=c06b3949770549379ff7e5e4eceaf876 https://osf.io/2hcqr
2020-54,Feher da Silva,Humans primarily use model-based inference in the two-stage task,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://github.com/wkool/tradeoffs https://github.com/carolfs/muddled_models,https://github.com/wkool/tradeoffs https://github.com/carolfs/muddled_models
2020-55,Fox,Intrinsic network architecture predicts the effects elicited by intracranial electrical stimulation of the human brain,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: The data that support the findings of this study are available from the correspo...",
2020-56,Murrar,Exposure to peers’ pro-diversity attitudes increases inclusion and reduces the achievement gap,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: Due to Institutional Review Board restrictions, the data are not publicly availa...",
2020-57,Xie,Memorability of words in arbitrary verbal associations modulates memory retrieval in the anterior temporal lobe,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: Processed data used in this study can be found at https://neuroscience.nih.gov/n...",
2020-61,Maier,Dissociable mechanisms govern when and how strongly reward attributes affect decisions,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://osf.io/jmiwn/ https://osf.io/g76fn/,https://osf.io/jmiwn/ https://osf.io/g76fn/ https://osf.io/g76fn https://osf.io/jmiwn
2020-62,Orach,Sustainable natural resource governance under interest group competition in policy-making,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: The experiment output data that support the findings of this study are available...",
2020-63,Boesch,Chimpanzee ethnography reveals unexpected cultural diversity,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: The data for this study are included in Supplementary Data 1 – 6 ....",
2020-65,Kraemer,Mapping global variation in human mobility,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: Human movement summary data for 242 countries and territories presented in this ...",
2020-66,Danese,Objective and subjective experiences of child maltreatment and their relationships with psychopathology,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: The data reported in the current article are not publicly available because they...",
2020-67,Ruggeri,Replicating patterns of prospect theory for decision under risk,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: All data are available with the preregistered material and code at osf.io/esxc4/...",
2020-68,Fewlass,Chemical evidence of dairying by hunter-gatherers in highland Lesotho in the late first millennium ad,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: All data generated or analysed during this study are included in this published ...",
2020-69,Bach,Predictors of risky foraging behaviour in healthy young people,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://osf.io/mnbfy https://osf.io/mnbfy/,https://osf.io/mnbfy https://osf.io/mnbfy/
2020-70,Pierson,A large-scale analysis of racial disparities in police stops across the United States,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: All data to reproduce the findings of this study are available at https://openpo...",
2020-71,Brosnan,Evidence accumulation during perceptual decisions in humans varies as a function of dorsal frontoparietal organization,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://github.com/gerontium/big_dots https://figshare.com/s/8d6f461834c47180a444,https://github.com/gerontium/big_dots https://figshare.com/s/8d6f461834c47180a444
2020-72,Halai,Investigating the effect of changing parameters when building prediction models for post-stroke aphasia,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: The conditions of our ethical approval do not permit the public archiving of ano...",
2020-73,Espinoza,Establishing the structure and replicability of personality profiles using the HEXACO-PI-R,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://osf.io/qdv8z/ https://osf.io/qdv8z,https://osf.io/qdv8z/ https://osf.io/qdv8z
2020-74,Jachimowicz,Higher economic inequality intensifies the financial hardship of people living in poverty by fraying the community buffer,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://doi.org/10.31235/osf.io/9ktg2 https://osf.io/a3qy8,https://doi.org/10.31235/osf.io/9ktg2 https://osf.io/a3qy8 https://osf.io/a3qy8/
2020-76,Lau,Shared striatal activity in decisions to satisfy curiosity and hunger at the risk of electric shocks,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://doi.org/10.31234/osf.io/qxdsn https://doi.org/10.31219/osf.io/zey4k,https://doi.org/10.31234/osf.io/qxdsn https://doi.org/10.31219/osf.io/zey4k https://osf.io/mafe3 https://osf.io/mafe3/ https://doi.org/10.31234/osf.io/yqxfr
2020-77,Langley,Portable art from Pleistocene Sulawesi,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: The artefacts reported here are currently curated at the Australian Research Cen...",
2020-78,Piff,Shifting attributions for poverty motivates opposition to inequality and enhances egalitarianism,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://osf.io/85pyd https://osf.io/7cg2h/,https://osf.io/85pyd https://osf.io/7cg2h/ https://osf.io/85pyd/ https://osf.io/7cg2h
2020-79,Mysterud,The unique spatial ecology of human hunters,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: Data are available at Dryad: https://doi.org/10.5061/dryad.1jwstqjr9 ....",
2020-80,Guess,Exposure to untrustworthy websites in the 2016 US election,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: Data files necessary to replicate the results in this article are available at t...",
2020-81,Liao,Local economic benefits increase positivity toward foreigners,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: Replication data are available on the Harvard Dataverse at: https://doi.org/10.7...",
2020-82,Sznycer,The origins of criminal law,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://osf.io/uwq2t https://osf.io/uwq2t/,https://osf.io/uwq2t https://osf.io/uwq2t/ https://doi.org/10.31234/osf.io/kupqv
2020-83,Goldin,Interplay of chronotype and school timing predicts school performance,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: The data that support the findings of this study are available from the correspo...",
2020-84,Bakker,Conservatives and liberals have similar physiological responses to threats,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://osf.io/d5g72 https://osf.io/d5g72/,https://osf.io/d5g72 https://osf.io/d5g72/
2020-85,Losin,Neural and sociocultural mediators of ethnic differences in pain,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://github.com/canlab,https://github.com/canlab
2020-86,Gluth,Value-based attention but not divisive normalization influences decisions with multiple alternatives,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://osf.io/qrv2e/ https://doi.org/10.31234/osf.io/57v6k,https://osf.io/qrv2e/ https://doi.org/10.31234/osf.io/57v6k https://osf.io/qrv2e
2020-87,Hassler,A large-scale test of the link between intergroup contact and support for social change,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://osf.io/wgdhb https://osf.io/8rcz9/,https://osf.io/wgdhb https://osf.io/8rcz9/ https://osf.io/wgdhb/ https://osf.io/8rcz9
2020-88,Wang,Multimodal mapping of the face connectome,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://github.com/mirrorneuronwang/HCP_face_connectome,https://github.com/mirrorneuronwang/HCP_face_connectome
2020-89,Matoba,"GWAS of 165,084 Japanese individuals identified nine loci associated with dietary habits",F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: GWAS summary statistics of the 13 dietary habits investigated are publicly avail...",
2020-90,Tromp,Exploitation and utilization of tropical rainforests indicated in dental calculus of ancient Oceanic Lapita culture colonists,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: Images of photographed microparticles are available from the corresponding autho...",
2020-91,Richmond-Rakerd,"Clustering of health, crime and social-welfare inequality in 4 million citizens from two nations",F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: The NZIDI and Danish register data cannot be shared by the authors. Researchers ...",
2020-92,Li,Quantum reinforcement learning during human decision-making,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: All data are available from the corresponding author on reasonable request....",
2020-93,Lucca,Infants rationally decide when and how to deploy effort,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://github.com/klucca/Lucca_et_al_Effort_2019 https://github.com/lme4/lme4/,https://github.com/klucca/Lucca_et_al_Effort_2019 https://github.com/lme4/lme4/
2020-94,Lambert,The pace of modern culture,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://github.com/Armand1/Pace-of-Modern-Culture,https://github.com/Armand1/Pace-of-Modern-Culture
2020-95,Balland,Complex economic activities concentrate in large cities,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: The data that support the findings of this study are available from the correspo...",
2020-96,Stolier,Trait knowledge forms a common structure across social cognition,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://osf.io/2uzsx https://osf.io/2uzsx/,https://osf.io/2uzsx https://osf.io/2uzsx/
2020-97,Vassena,"Surprise, value and control in anterior cingulate cortex during speeded decision-making",F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://github.com/modelbrains/EVC-Simulations,https://github.com/modelbrains/EVC-Simulations
