subject;variables.currentgroupnumber;blockcode;blocknum;trialcode;trialnum;response;correct;latency;stimulusnumber1;stimulusitem1;stimulusnumber2;stimulusitem2;stimulusnumber3;stimulusitem3;sdlatency;percentcorrect;meanlatency
1;1;gefühlsfb;11;gefühlsfb;1;2;0;3577;1;...freudig;0;0;0;0;0;0;3577
1;1;gefühlsfb;11;gefühlsfb;2;2;0;4047;2;...verärgert;0;0;0;0;332,340187157677;0;3812
1;1;gefühlsfb;11;gefühlsfb;3;2;0;2400;3;...verängstigt;0;0;0;0;848,414010571097;0;3341,33333333333
1;1;gefühlsfb;11;gefühlsfb;4;5;0;1885;4;...beschämt;0;0;0;0;1005,03611046237;0;2977,25
1;1;gefühlsfb;11;gefühlsfb;5;3;0;3511;5;...gut gelaunt;0;0;0;0;902,524791903247;0;3084
1;1;gefühlsfb;11;gefühlsfb;6;5;0;2589;6;...gereizt;0;0;0;0;832,152810486151;0;3001,5
1;1;gefühlsfb;11;gefühlsfb;7;3;0;2626;7;...furchtsam;0;0;0;0;772,792431935732;0;2947,85714285714
1;1;gefühlsfb;11;gefühlsfb;8;7;0;2877;8;...voller Bedauern;0;0;0;0;715,905221181048;0;2939
1;1;gefühlsfb;11;gefühlsfb;9;1;0;2558;9;...begeistert;0;0;0;0;681,604173989567;0;2896,66666666667
1;1;gefühlsfb;11;gefühlsfb;10;5;0;2100;10;...wütend;0;0;0;0;690,240215834716;0;2817
1;1;gefühlsfb;11;gefühlsfb;11;6;0;1451;11;...erschreckt;0;0;0;0;773,576604892084;0;2692,81818181818
1;1;gefühlsfb;11;gefühlsfb;12;5;0;3583;12;...schuldig;0;0;0;0;781,059653175212;0;2767
1;1;frabo;12;frabo;1;7;0;8782;1;Das Verhältnis von Deutschen und Juden ist nach wie vor von der Vergangenheit geprägt.;0;0;0;0;0;0;8782
1;1;frabo;12;frabo;2;3;0;11870;2;Reparationsforderungen an Deutschland nützen oft gar nicht mehr den Opfern, sondern einer Holocaust-Industrie von findigen Anwälten.;0;0;0;0;2183,54574030406;0;10326
1;1;frabo;12;frabo;3;7;0;4015;3;Ich bedauere die Dinge, die die Deutschen den Juden in der Vergangenheit angetan haben.;0;0;0;0;3957,29406707833;0;8222,33333333333
1;1;frabo;12;frabo;4;1;0;17763;4;Durch ihr Verhalten sind die Juden an ihren Verfolgungen mitschuldig.;0;0;0;0;5761,61415461559;0;10607,5
1;1;frabo;12;frabo;5;4;0;7380;5;Ich habe das Bedürfnis, mich persönlich - und wenn es auch nur im Kleinen ist - für eine Entschädigung der Juden einzusetzen.;0;0;0;0;5194,27564728712;0;9962
1;1;frabo;12;frabo;6;5;0;7297;6;Juden haben zu viel Kontrolle und Einfluss an der Wall Street.;0;0;0;0;4771,59342009215;0;9517,83333333333
1;1;frabo;12;frabo;7;2;0;8209;7;Man kann für gewöhnlich am Aussehen erkennen, ob jemand Jude ist.;0;0;0;0;4383,84996050167;0;9330,85714285714
1;1;frabo;12;frabo;8;7;0;7888;8;So etwas wie Schuld für die Dinge, die Deutsche den Juden angetan haben, habe ich auch schon einmal empfunden.;0;0;0;0;4090,58937423098;0;9150,5
1;1;frabo;12;frabo;9;1;0;16988;9;Die Juden besitzen wieder zu viel Macht und Einfluss in der Welt.;0;0;0;0;4633,1913947084;0;10021,3333333333
1;1;frabo;12;frabo;10;5;0;9369;10;Heute sollte man nicht mehr soviel über den Holocaust reden, sondern einen Schlussstrich unter die Vergangenheit ziehen.;0;0;0;0;4373,08288027769;0;9956,1
1;1;frabo;12;frabo;11;1;0;5399;11;Es reizt mich nicht besonders, Juden einmal persönlich kennen zu lernen.;0;0;0;0;4370,28513527852;0;9541,81818181818
1;1;frabo;12;frabo;12;4;0;8376;12;Die Deutschen mussten während des 2. Weltkriegs auch mehr als genug leiden.;0;0;0;0;4180,47183794829;0;9444,66666666667
1;1;frabo;12;frabo;13;5;0;10288;13;Dass die Juden ebenso ein Volk von Tätern sind wie andere, halte ich für unbestreitbar.;0;0;0;0;4009,3255379466;0;9509,53846153846
1;1;frabo;12;frabo;14;5;0;12439;14;Sollte sich eine Möglichkeit ergeben, einmal in direkten Kontakt mit Vertretern des Judentums zu treten, werde ich sie wahrnehmen.;0;0;0;0;3930,79614520581;0;9718,78571428571
1;1;frabo;12;frabo;15;7;0;4420;15;Ich fühle mich schuldig für die negativen Dinge, die meine deutschen Vorfahren den Juden angetan haben.;0;0;0;0;4027,32080148766;0;9365,53333333333
1;1;frabo;12;frabo;16;4;0;6433;16;Die deutschen Juden fühlen sich stärker mit Israel als mit Deutschland verbunden.;0;0;0;0;3959,23096067911;0;9182,25
1;1;frabo;12;frabo;17;2;0;12678;17;Bei der Politik, die Israel macht, kann ich gut verstehen, dass man etwas gegen Juden hat.;0;0;0;0;3926,1469324637;0;9387,88235294118
1;1;frabo;12;frabo;18;6;0;6334;18;Ich kann mich leicht schuldig fühlen für die negativen Folgen, die durch Deutsche veranlasst wurden.;0;0;0;0;3876,33962507014;0;9218,22222222222
1;1;frabo;12;frabo;19;1;0;3525;19;Ich kann es mir nicht gut vorstellen, jüdische Freunde zu haben.;0;0;0;0;3987,12507559282;0;8918,57894736842
1;1;frabo;12;frabo;20;6;0;6232;20;Ich ärgere mich darüber, dass den Deutschen auch heute noch die Verbrechen an Juden vorgehalten werden.;0;0;0;0;3927,00378452634;0;8784,25
1;1;frabo;12;frabo;21;6;0;6378;21;Wir sollten uns lieber gegenwärtigen Problemen widmen als Ereignissen, die mehr als 60 Jahre vergangen sind.;0;0;0;0;3863,41907296288;0;8669,66666666667
1;1;frabo;12;frabo;22;2;0;7144;22;Die Juden sollten aufhören, sich ständig darüber zu beschweren, was ihnen in Nazi-Deutschland widerfahren ist.;0;0;0;0;3784,31597123309;0;8600,31818181818
1;1;frabo;12;frabo;23;7;0;4869;23;Ich bedauere die verletzenden Taten der Deutschen gegenüber den Juden.;0;0;0;0;3778,28360397878;0;8438,08695652174
1;1;frabo;12;frabo;24;6;0;6061;24;Juden haben viel zum deutschen kulturellen Leben beigetragen.;0;0;0;0;3726,95526132627;0;8339,04166666667
1;1;frabo;12;frabo;25;7;0;8148;25;Sollte die von mir präferierte Partei einen Kandidaten nominieren, der Jude ist, wäre ich damit einverstanden, dass ein Jude deutscher Kanzler wird.;0;0;0;0;3648,68431766849;0;8331,4
1;1;frabo;12;frabo;26;7;0;4692;26;Ich bedauere die Verbrechen am jüdischen Volk durch Deutsche zutiefst.;0;0;0;0;3645,5196301551;0;8191,42307692308
1;1;frabo;12;frabo;27;4;0;9852;27;Die Juden hierzulande interessieren sich mehr für deutsche als für israelische Angelegenheiten.;0;0;0;0;3588,98271344108;0;8252,92592592593
1;1;frabo;12;frabo;28;1;0;11690;28;Es macht mich wütend, dass die Vertreibung der Deutschen und Bombardierung deutscher Städte immer als kleineres Verbrechen angesehen wird.;0;0;0;0;3581,29031220097;0;8375,67857142857
1;1;frabo;12;frabo;29;5;0;5819;29;Ich würde gerne meinen Teil dazu beitragen, die gesellschaftliche Isolierung von Juden zu durchbrechen.;0;0;0;0;3548,65916952838;0;8287,51724137931
1;1;frabo;12;frabo;30;4;0;3247;30;Juden sind warme und freundliche Menschen.;0;0;0;0;3606,33261753209;0;8119,5
1;1;frabo;12;frabo;31;6;0;5227;31;Ich bin es leid, immer wieder von den deutschen Verbrechen an den Juden zu hören.;0;0;0;0;3583,57401132217;0;8026,1935483871
1;1;frabo;12;frabo;32;1;0;5408;32;Ich sehe keine Notwendigkeit, den Schaden auszugleichen, der dem jüdischen Volk zugefügt wurde.;0;0;0;0;3555,55359103328;0;7944,375
1;1;frabo;12;frabo;33;7;0;5044;33;Bei der Auseinandersetzung mit der Verfolgung der Juden überkommt mich ein intensives Gefühl des Bedauerns.;0;0;0;0;3535,79049790507;0;7856,48484848485
1;1;frabo;12;frabo;34;5;0;6328;34;Was der Staat Israel heute mit den Palästinensern macht, ist im Prinzip auch nichts anderes als das, was die Nazis im Dritten Reich mit den Juden gemacht haben.;0;0;0;0;3491,65938874162;0;7811,52941176471
1;1;frabo;12;frabo;35;2;0;4001;35;Juden sorgen mit ihren Ideen immer für Unfrieden.;0;0;0;0;3499,70960091781;0;7702,65714285714
1;1;frabo;12;frabo;36;1;0;6018;36;Wenn ich an den Völkermord an den Juden denke, so überkommt mich keinerlei Gefühl von Schuld.;0;0;0;0;3460,76012420705;0;7655,86111111111
1;1;frabo;12;frabo;37;4;0;15269;37;Viele Juden versuchen, aus der Vergangenheit des Dritten Reiches heute ihren Vorteil zu ziehen.;0;0;0;0;3634,64625629626;0;7861,62162162162
1;1;frabo;12;frabo;38;1;0;3478;38;Ich empfinde kein großes Bedauern, wenn ich an die Diskriminierung und Verfolgung der Juden durch Deutsche denke.;0;0;0;0;3655,03715131938;0;7746,26315789474
1;1;frabo;12;frabo;39;1;0;8573;39;Juden haben zu viel Einfluss auf die öffentliche Meinung in diesem Land.;0;0;0;0;3609,05273215587;0;7767,46153846154
1;1;frabo;12;frabo;40;6;0;16186;40;Ich denke nicht, dass ich dafür verantwortlich bin, für den durch Deutsche an Juden angerichteten Schaden Wiedergutmachung zu leisten.;0;0;0;0;3803,03501192443;0;7977,925
1;1;frabo;12;frabo;41;3;0;10120;41;Juden werden in Deutschland als unantastbare Moralinstitution gesehen.;0;0;0;0;3770,06799608733;0;8030,17073170732
1;1;frabo;12;frabo;42;5;0;8485;42;Durch die israelische Politik werden mir die Juden immer unsympathischer.;0;0;0;0;3724,4690307446;0;8041
1;1;frabo;12;frabo;43;5;0;11637;43;Ich möchte das jüdische Volk für das Leid, das ihnen durch Deutsche widerfahren ist, entschädigen.;0;0;0;0;3720,49965297325;0;8124,62790697674
1;1;frabo;12;frabo;44;3;0;5253;44;Israel führt einen Vernichtungskrieg gegen die Palästinenser.;0;0;0;0;3702,38067402464;0;8059,36363636364
1;1;frabo;12;frabo;45;6;0;3576;45;Die Juden nutzen die Erinnerung an den Holocaust heute für ihren eigenen Vorteil aus.;0;0;0;0;3720,58660086625;0;7959,73333333333
1;1;frabo;12;frabo;46;5;0;6322;46;Ich glaube, dass ich den Schaden, der den Juden durch die Deutschen zugefügt wurde, wieder reparieren sollte.;0;0;0;0;3686,93039206628;0;7924,13043478261
1;1;frabo;12;frabo;47;6;0;4095;47;Manchmal habe ich das Gefühl, dass die Juden unser schlechtes Gewissen ausnutzen.;0;0;0;0;3689,16092897179;0;7842,65957446808
1;1;frabo;12;frabo;48;1;0;8899;48;Oft wird zu viel auf jüdisches Leid im 2. Weltkrieg geschaut und vergessen, dass es auch andere Opfer gab.;0;0;0;0;3652,88691622052;0;7864,66666666667
1;1;frabo;12;frabo;49;1;0;4722;49;Ich habe selber persönlichen Kontakt mit jüdischen Menschen.;0;0;0;0;3642,40988279075;0;7800,5306122449
1;1;mc1;13;mc1;1;1;1;8739;1;Bitte erinnern Sie sich kurz an den einleitenden Text. Wurde dort auf heute noch anhaltende Folgen für die Opfer hingewiesen?;0;0;0;0;0;100;8739
2;2;intro;1;intro;1;57;0;132756;1;humfak_leiste.jpg;1; ;1; ;0;0;132756
2;2;intro;1;baseline;2;0;0;119700;1;Bitte warten Sie einen Moment.  Nach 2 Minuten geht es automatisch weiter.;0;0;0;0;9231,98613517156;0;126228
2;2;code;2;sex;3;1;0;1602;1;Bitte geben Sie Ihr Geschlecht an;0;0;0;0;14414,9648629471;33;10670
2;2;prime_instr;3;pre_prime;1;25;0;13106;1;Bitte melden Sie sich jetzt bei der Versuchsleiterin. Diese wird dann diesen Untersuchungsabschnitt starten.;0;0;0;0;0;0;13106
2;2;prime_instr;3;pre_prime_interval;2;0;0;9700;1;Bitte warten Sie einen Moment. Es geht gleich weiter...;0;0;0;0;2408,40569672138;0;11403
2;2;primekeine;4;gedanken_instr;1;156;0;265805;1;Bitte formulieren Sie in Stichworten kurz Gedanken, die Ihnen beim Lesen des Textes gekommen sind.   Verwenden Sie dazu den bereitgelegten Zettel und Stift.  Wenn Sie damit fertig sind, falten Sie den Zettel und werfen Sie ihn in die bereitstehende Box. Drücken Sie dann eine beliebige Taste, um fortzufahren.;0;0;0;0;0;0;265805
2;2;ipanat1;5;ipanat1;1;2;0;10497;1;Freude;0;0;0;0;0;0;10497
2;2;ipanat1;5;ipanat1;2;5;0;5828;2;Ärger;0;0;0;0;3301,48156135999;0;8162,5
2;2;ipanat1;5;ipanat1;3;7;0;3087;3;Angst;0;0;0;0;3746,57047622667;0;6470,66666666667
2;2;ipanat1;5;ipanat1;4;2;0;3815;4;Scham;0;0;0;0;3334,81657416616;0;5806,75
2;2;ipanat1;5;ipanat1;5;1;0;3239;5;Gute Laune;0;0;0;0;3107,9606175111;0;5293,2
2;2;ipanat1;5;ipanat1;6;5;0;3340;6;Gereiztheit;0;0;0;0;2891,94866252267;0;4967,66666666667
2;2;ipanat1;5;ipanat1;7;7;0;2720;7;Furcht;0;0;0;0;2773,29904969652;0;4646,57142857143
2;2;ipanat1;5;ipanat1;8;3;0;2613;8;Bedauern;0;0;0;0;2666,34077435725;0;4392,375
2;2;ipanat1;5;ipanat1;9;2;0;3284;9;Begeisterung;0;0;0;0;2521,34903264987;0;4269,22222222222
2;2;ipanat1;5;ipanat1;10;7;0;2280;10;Wut;0;0;0;0;2458,97250673709;0;4070,3
2;2;ipanat1;5;ipanat1;11;7;0;1371;11;Schrecken;0;0;0;0;2470,68308184378;0;3824,90909090909
2;2;ipanat1;5;ipanat1;12;3;0;2809;12;Schuldgefühl;0;0;0;0;2373,88852939644;0;3740,25
2;2;ipanat2;6;ipanat2;1;7;0;6665;1;Freude;0;0;0;0;0;0;6665
2;2;ipanat2;6;ipanat2;2;2;0;2019;2;Ärger;0;0;0;0;3285,2181053927;0;4342
2;2;ipanat2;6;ipanat2;3;2;0;1692;3;Angst;0;0;0;0;2781,57551278647;0;3458,66666666667
2;2;ipanat2;6;ipanat2;4;2;0;2906;4;Scham;0;0;0;0;2287,89604950342;0;3320,5
2;2;ipanat2;6;ipanat2;5;7;0;1654;5;Gute Laune;0;0;0;0;2116,90710707863;0;2987,2
2;2;ipanat2;6;ipanat2;6;1;0;2003;6;Gereiztheit;0;0;0;0;1935,58212604546;0;2823,16666666667
2;2;ipanat2;6;ipanat2;7;2;0;1692;7;Furcht;0;0;0;0;1817,92636971751;0;2661,57142857143
2;2;ipanat2;6;ipanat2;8;2;0;2100;8;Bedauern;0;0;0;0;1694,74312739634;0;2591,375
2;2;ipanat2;6;ipanat2;9;6;0;1719;9;Begeisterung;0;0;0;0;1611,73657207925;0;2494,44444444444
2;2;ipanat2;6;ipanat2;10;2;0;1753;10;Wut;0;0;0;0;1537,54219815624;0;2420,3
2;2;ipanat2;6;ipanat2;11;3;0;1547;11;Schrecken;0;0;0;0;1482,21607429858;0;2340,90909090909
2;2;ipanat2;6;ipanat2;12;3;0;1215;12;Schuldgefühl;0;0;0;0;1450,1309319151;0;2247,08333333333
2;2;ipanat3;7;ipanat3;1;5;0;6529;1;Freude;0;0;0;0;0;0;6529
2;2;ipanat3;7;ipanat3;2;3;0;2787;2;Ärger;0;0;0;0;2645,99357520006;0;4658
2;2;ipanat3;7;ipanat3;3;2;0;2593;3;Angst;0;0;0;0;2218,56920859669;0;3969,66666666667
2;2;ipanat3;7;ipanat3;4;5;0;3964;4;Scham;0;0;0;0;1811,45638920731;0;3968,25
2;2;ipanat3;7;ipanat3;5;5;0;2613;5;Gute Laune;0;0;0;0;1681,77620389872;0;3697,2
2;2;ipanat3;7;ipanat3;6;6;0;3098;6;Gereiztheit;0;0;0;0;1523,98722654315;0;3597,33333333333
2;2;ipanat3;7;ipanat3;7;3;0;1677;7;Furcht;0;0;0;0;1569,15869178359;0;3323
2;2;ipanat3;7;ipanat3;8;3;0;1305;8;Bedauern;0;0;0;0;1618,50184253393;0;3070,75
2;2;ipanat3;7;ipanat3;9;5;0;1486;9;Begeisterung;0;0;0;0;1603,48144672771;0;2894,66666666667
2;2;ipanat3;7;ipanat3;10;5;0;1877;10;Wut;0;0;0;0;1545,64991364654;0;2792,9
2;2;ipanat3;7;ipanat3;11;1;0;1968;11;Schrecken;0;0;0;0;1487,27613135863;0;2717,90909090909
2;2;ipanat3;7;ipanat3;12;3;0;1556;12;Schuldgefühl;0;0;0;0;1457,19010167659;0;2621,08333333333
2;2;ipanat4;8;ipanat4;1;6;0;6549;1;Freude;0;0;0;0;0;0;6549
2;2;ipanat4;8;ipanat4;2;2;0;2009;2;Ärger;0;0;0;0;3210,26478658693;0;4279
2;2;ipanat4;8;ipanat4;3;2;0;1740;3;Angst;0;0;0;0;2702,17326116097;0;3432,66666666667
2;2;ipanat4;8;ipanat4;4;2;0;1105;4;Scham;0;0;0;0;2494,4608468899;0;2850,75
2;2;ipanat4;8;ipanat4;5;5;0;2438;5;Gute Laune;0;0;0;0;2168,13830278421;0;2768,2
2;2;ipanat4;8;ipanat4;6;1;0;2263;6;Gereiztheit;0;0;0;0;1950,17865848235;0;2684
2;2;ipanat4;8;ipanat4;7;2;0;1867;7;Furcht;0;0;0;0;1806,84427610551;0;2567,28571428571
2;2;ipanat4;8;ipanat4;8;5;0;1886;8;Bedauern;0;0;0;0;1690,0654625952;0;2482,125
2;2;ipanat4;8;ipanat4;9;5;0;904;9;Begeisterung;0;0;0;0;1666,1335313967;0;2306,77777777778
2;2;ipanat4;8;ipanat4;10;2;0;1568;10;Wut;0;0;0;0;1588,12331245264;0;2232,9
2;2;ipanat4;8;ipanat4;11;1;0;2218;11;Schrecken;0;0;0;0;1506,63275974183;0;2231,54545454545
2;2;ipanat4;8;ipanat4;12;2;0;1918;12;Schuldgefühl;0;0;0;0;1439,36668259679;0;2205,41666666667
2;2;ipanat5;9;ipanat5;1;2;0;2860;1;Freude;0;0;0;0;0;0;2860
2;2;ipanat5;9;ipanat5;2;6;0;2267;2;Ärger;0;0;0;0;419,314321243623;0;2563,5
2;2;ipanat5;9;ipanat5;3;7;0;1617;3;Angst;0;0;0;0;621,717781634079;0;2248
2;2;ipanat5;9;ipanat5;4;3;0;1689;4;Scham;0;0;0;0;579,490221372774;0;2108,25
