id,desc,manuscript,computed,verdict,note
T3-C-PREG,Table3 country-unit PREG,0.433 / 0.405,similar PREG,OK,
T3-C-pop,Table3 country-unit pop,"19,052 / 32,659",cross more populous,OK,
T3-C-polity,Table3 country-unit polity,3.5 / 5.4,cross slightly more democratic,OK,
T3-C-obs,Table3 country-unit obs,6 / 8,== 14 countries; '8/14' claim,OK,
T3-C-obsa,14 countries = 8 cross + 6 coethnic,14,6+8=14,OK,
T3-R-obs,Table3 country-round obs (incl missing) = 25; prose '12 of 25',13+12=25; 12 cross,12/25=48% ~ half,OK,
T3-R-obs2,Table3 country-round obs (excl missing),11+9=20,20,OK,
T3-R-lgs,Leader group size 0.317 -> 0.509 (~50% vs 32% prose),0.509 / 0.317,prose ~50% vs 32%,OK,
T3-R-sgs,Spouse group size 0.317 -> 0.582; prose 'marry into larger groups by 8pp',0.582 vs 0.509? or 0.317?,0.073=7.3pp (cross); 0.265=26.5pp (vs co),APPROX,"'by 8 percentage points' matches within cross-ethnic column (0.509->0.582 = 7.3pp), not the naive 0.317->0.582 comparison"
INC1,8 of 14 Afrobarometer countries had >=1 cross-ethnic marriage,8/14,8/14,OK,
INC2,12 of 25 leadership tenures cross-ethnic,12/25,12/25,OK,
T4-Vote-0,Table4 Vote no SES coeff(SE),0.03*,"b=0.03, se=0.01",STATIC,headline regression; raw data unavailable -> cannot recompute (not-independently-checkable)
T4-Vote-1,Table4 Vote SES coeff(SE),0.04**,"b=0.04, se=0.01",STATIC,headline regression; raw data unavailable -> cannot recompute (not-independently-checkable)
T4-Job-0,Table4 Job no SES coeff(SE),-0.13**,"b=-0.13, se=0.02",STATIC,headline regression; raw data unavailable -> cannot recompute (not-independently-checkable)
T4-Job-1,Table4 Job SES coeff(SE),-0.05,"b=-0.05, se=0.03",STATIC,headline regression; raw data unavailable -> cannot recompute (not-independently-checkable)
T4-EPP-0,Table4 EPP no SES coeff(SE),0.01,"b=0.01, se=0.03",STATIC,headline regression; raw data unavailable -> cannot recompute (not-independently-checkable)
T4-EPP-1,Table4 EPP SES coeff(SE),0.02,"b=0.02, se=0.03",STATIC,headline regression; raw data unavailable -> cannot recompute (not-independently-checkable)
T4-EU-0,Table4 EU no SES coeff(SE),-0.00,"b=-0.0, se=0.03",STATIC,headline regression; raw data unavailable -> cannot recompute (not-independently-checkable)
T4-EU-1,Table4 EU SES coeff(SE),-0.03,"b=-0.03, se=0.03",STATIC,headline regression; raw data unavailable -> cannot recompute (not-independently-checkable)
T4TXT,Prose: spouse coethnics 4.3pp more likely (most restrictive model),4.3pp,Table4 Vote+SES coeff=0.04 (rounded); 0.043 would give 4.3pp,APPROX,0.04** rounded from ~0.043 plausible; not verifiable without data
TXT53,Full sample support: non-coethnics 53% / spouse-coethnics 60% / leader-coethnics 65%,53/60/65,from Afrobarometer; no data,NOTCHECK,
PR1,Fon raise >20pp after Fon-wife cue,'>20pp',reconstructed diff F-C = 21.82pp,OK,
PR2,Manipulation: 100% coethnics / 98% non-coethnics identify spouse ethnicity,100% / 98%,no underlying counts given,NOTCHECK,
PR3,~1/3 say Yayi favors Southerners; 9% of those Fon; 9.8% vs 13.7%; p=.513,p=.513,denominators not given; cannot recompute,NOTCHECK,
PR4,Afrobarometer: only 29% of Fon support Yayi,29%,AB data not obtained,NOTCHECK,
DR1,Cosmopolitan ruled out: cue effect positive ONLY for Fon; non-coethnics see decrease,"positive Fon, negative non-coethnics",Table1: coeth F-C=+21.82; non-coeth F-C=-16.20,OK,
DR2,Wife cue negative but NS across the board; 'Fon-Wife > Wife' for coethnics,Wife-Control negative; Fon-Wife largest,coeth W-C=-6.02(NS); F-W=+27.84,OK,
