CASE;SERIAL;REF;QUESTNNR;MODE;R001_01;R001_02;R001_03;R001_04;R001_05;R001_06;R001_07;R001_08;R001_09;R001_10;R001_11;R001_12;R002_01;R002_02;R002_03;R002_04;R002_05;R002_06;R002_07;R002_08;R002_09;R002_10;R002_11;R002_12;R003_01;R003_02;R003_03;R003_04;R003_05;R003_06;R003_07;R003_08;R003_09;R003_10;R003_11;R003_12;R004_01;R004_02;R004_03;R004_04;R004_05;R004_06;R004_07;R004_08;R004_09;R004_10;R004_11;R004_12;R005_01;R005_02;R005_03;R005_04;R005_05;R005_06;R005_07;R005_08;R005_09;R005_10;R005_11;R005_12;R006_01;R006_02;R006_03;R006_04;R006_05;R006_06;R006_07;R006_08;R006_09;R006_10;R006_11;R006_12;R007_01;R007_02;R007_03;R007_04;R007_05;R007_06;R007_07;R007_08;R007_09;R007_10;R007_11;R007_12;R008_01;R008_02;R008_03;R008_04;R008_05;R008_06;R008_07;R008_08;R008_09;R008_10;R008_11;R008_12;CO01;CO02;DE02;TIME001;TIME002;TIME003;TIME004;TIME005;TIME006;TIME007;TIME008;TIME009;TIME010;TIME011;TIME012;TIME_SUM;MAILSENT;FINISHED;LASTPAGE;MAXPAGE;MISSING;MISSREL;DEG_MISS;DEG_TIME;DEGRADE;jhol_warmth;jhol_comp;chol_warmth;chol_comp;jctr_warmth;jctr_comp;cctr_warmth;cctr_comp;age_groups
155; ; ;as_rcic3;interview;2;2;2;3;3;2;2;2;1;2;2;1;5;4;4;-9;3;5;4;2;4;4;4;-9;4;2;2;4;4;4;4;4;4;3;3;3;4;5;4;3;4;5;5;3;5;2;4;4;2;3;3;2;3;2;2;2;4;2;3;3;2;2;2;3;2;2;3;2;3;3;3;3;3;3;3;2;3;3;2;3;2;2;3;3;3;3;4;4;4;4;4;4;5;4;3;3;2;1;1;3;12;19;16;18;12;18;15;14;14;21;19;181; ;1;12;12;2;2;40;38;78;2,5;2,5;2,25;2,5;2,75;2,5;3,5;4,25;2
162; ; ;as_rcic3;interview;5;4;3;5;4;5;4;5;5;5;4;4;5;3;3;5;2;5;4;5;5;4;4;4;2;5;3;4;3;4;5;3;5;3;3;2;5;5;5;4;4;4;5;5;5;5;4;5;5;5;3;3;3;5;4;5;5;4;5;2;4;2;3;3;2;5;3;5;5;3;3;2;4;5;5;4;4;5;5;5;5;4;5;4;4;3;4;4;2;5;3;5;2;4;2;5;2;1;1;18;30;35;28;37;27;30;44;29;27;33;15;353; ;1;12;12;0;0;0;1;1;4;4,75;3;4,5;4,5;5;3,75;3,75;1
166; ; ;as_rcic3;interview;3;3;2;3;2;3;4;3;2;4;3;4;3;4;3;3;2;4;4;4;3;2;3;4;3;3;4;3;3;3;4;4;4;3;3;4;4;3;3;4;3;3;3;3;3;4;3;3;4;4;3;3;3;4;4;4;4;4;4;3;3;2;2;2;2;3;3;-9;4;4;2;2;4;4;4;4;3;4;4;5;4;4;3;4;4;3;2;2;3;3;2;2;2;2;2;2;2;1;1;115;34;53;41;34;28;41;29;29;26;23;42;388; ;1;12;12;1;1;20;0;20;3,5;4;2,25;3,33333333333333;4;4,25;2,75;2,25;3
178; ; ;as_rcic3;interview;4;3;4;4;4;5;5;4;4;3;5;5;2;2;2;2;2;3;3;4;3;2;2;4;4;4;4;4;4;5;5;5;5;4;5;5;4;4;4;4;4;2;2;2;3;3;5;4;3;3;2;3;2;3;3;4;4;3;2;3;3;2;3;3;3;3;3;4;3;3;2;3;4;3;4;4;4;5;5;5;5;4;5;5;3;3;3;3;4;2;2;3;3;2;4;4;2;1;2;8;5;27;27;23;23;26;29;29;25;11;8;241; ;1;12;12;0;0;0;24;24;2,75;3,5;2,75;3,25;3,75;5;3;2,5;2
182; ; ;as_rcic3;interview;3;4;4;4;3;3;3;3;3;3;4;4;3;3;3;3;3;3;3;3;4;3;3;4;3;3;3;3;3;3;3;3;4;3;3;4;4;3;3;3;3;3;3;3;3;3;4;4;3;4;4;3;3;3;3;3;3;3;4;4;3;4;4;4;3;3;3;3;4;3;4;4;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;4;3;4;4;2;1;1;3;18;36;27;29;31;24;22;20;24;19;21;274; ;1;12;12;0;0;0;12;12;3,5;3;3,75;3,25;3;3;3;3,25;1
192; ; ;as_rcic3;interview;3;3;3;3;3;4;4;4;5;3;4;3;3;3;3;3;3;4;4;5;4;4;3;3;3;3;3;3;2;3;3;4;4;3;2;4;3;4;4;3;3;5;5;3;5;5;3;3;4;4;4;4;4;4;4;4;4;4;4;4;3;3;2;2;2;3;3;4;4;2;3;3;4;4;3;3;3;4;5;5;5;5;3;3;3;3;3;3;2;4;3;5;4;3;2;3;2;1;1;5;28;25;32;23;20;25;19;26;24;19;43;289; ;1;12;12;0;0;0;11;11;4;4;2,5;3,5;3,5;4,75;3;4;1
193; ; ;as_rcic3;interview;4;4;4;3;4;4;4;4;4;4;3;3;4;3;4;3;4;4;4;4;4;3;3;4;3;3;4;4;3;4;4;4;4;3;4;3;3;3;3;3;3;4;4;4;4;4;3;3;4;3;4;4;4;4;4;4;4;3;3;4;4;3;3;4;3;4;4;4;3;3;3;3;4;4;4;3;3;4;4;4;4;3;3;4;4;4;4;3;3;4;4;4;4;4;3;4;2;1;2;65;18;31;27;28;29;21;29;25;20;34;16;286; ;1;12;12;0;0;0;4;4;3,75;4;3,5;3,75;3,75;4;3,75;4;2
194; ; ;as_rcic3;interview;2;1;2;3;2;3;3;4;4;3;3;4;3;3;2;3;3;4;3;3;4;4;2;4;4;4;3;3;4;3;4;5;4;3;4;4;3;2;3;3;2;3;2;2;1;3;3;2;4;4;4;4;4;3;4;3;4;4;4;4;4;5;4;4;4;4;5;5;5;4;4;4;4;4;5;4;5;4;4;5;4;3;4;5;3;2;2;2;3;3;1;2;2;4;4;3;2;1;2;23;14;26;34;31;27;31;37;25;25;22;16;311; ;1;12;12;0;0;0;3;3;4;3,5;4,25;4,75;4,25;4,25;2,25;2;1
211; ; ;as_rcic3;interview;1;1;1;1;1;1;1;1;3;2;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;3;1;1;3;1;1;1;1;1;1;1;1;3;2;1;1;1;1;1;1;1;1;1;1;3;2;1;1;1;1;1;1;1;1;1;1;3;2;1;1;1;1;1;1;1;1;1;1;4;2;1;1;1;1;1;1;1;1;1;1;3;2;1;1;2;1;2;10;9;18;37;17;21;35;14;19;47;21;14;262; ;1;12;12;0;0;0;19;19;1;1,5;1;1,5;1;1,75;1;1,5;1
221; ; ;as_rcic3;interview;2;2;2;3;2;2;3;2;2;2;2;2;2;3;2;2;2;3;3;3;2;2;3;2;2;2;3;2;2;2;3;3;2;2;3;3;3;3;3;3;3;3;3;2;2;2;3;3;2;3;3;2;2;3;2;2;2;2;3;3;3;2;3;2;2;2;2;2;2;2;2;3;3;2;2;2;3;3;3;3;2;2;3;3;3;2;2;3;3;3;3;3;3;3;3;4;2;1;1;10;26;27;29;69;28;31;38;25;33;11;7;334; ;1;12;12;0;0;0;11;11;2,5;2,25;2,5;2;2,25;2,75;2,5;3;3
229; ; ;as_rcic3;interview;4;4;3;2;3;4;4;3;4;3;3;3;3;4;2;4;3;3;2;3;4;4;2;2;3;4;4;4;3;3;4;3;4;3;4;4;2;4;3;4;3;4;4;4;3;3;3;4;4;3;5;5;5;4;4;4;4;4;3;4;3;3;2;3;3;4;3;4;3;4;3;4;3;3;4;4;3;3;3;3;4;3;3;4;4;5;5;4;4;3;4;4;3;4;5;4;2;1;2;4;24;33;29;21;25;24;22;22;18;18;18;258; ;1;12;12;0;0;0;12;12;4,25;4;2,75;3,5;3,5;3,25;4,5;3,5;2
236; ; ;as_rcic3;interview;1;1;1;1;1;1;2;1;1;1;1;1;3;5;5;3;5;5;5;4;3;5;5;5;4;5;5;5;5;5;5;4;3;4;4;4;2;2;1;2;1;4;2;4;5;2;3;3;1;1;1;1;1;2;1;1;3;1;1;1;3;4;4;4;3;4;4;3;4;3;3;4;5;2;4;3;4;2;5;3;3;3;2;5;2;4;4;4;3;3;4;3;5;4;3;2;2;1;2;4;31;19;46;19;19;25;26;207;22;34;15;285; ;1;12;12;0;0;0;14;14;1;1,75;3,75;3,75;3,5;3,25;3,5;3,75;1
241; ; ;as_rcic3;interview;4;4;3;4;3;3;4;2;3;5;4;4;4;2;4;3;3;3;3;4;3;2;3;3;2;2;3;2;2;3;2;1;2;1;1;2;4;4;2;1;4;4;4;3;2;4;4;1;2;2;2;2;2;4;3;1;3;3;2;3;4;3;3;3;3;3;3;3;2;1;3;3;4;3;4;3;4;3;3;2;3;3;2;4;3;2;3;1;2;3;3;3;3;2;3;3;2;1;2;3;15;41;46;36;33;40;45;29;32;21;7;348; ;1;12;12;0;0;0;14;14;2;2,75;3,25;2,75;3,5;2,75;2,25;3;1
257; ; ;as_rcic3;interview;3;3;3;2;2;3;3;4;1;2;2;3;3;4;4;4;4;4;4;4;4;4;4;4;2;2;2;3;2;4;4;4;4;4;2;3;4;4;4;4;4;3;3;2;3;3;3;3;2;2;3;3;2;2;3;3;3;2;3;2;2;3;2;3;2;5;4;4;5;4;2;5;2;2;2;2;2;5;5;5;5;3;1;4;3;1;4;3;2;4;3;3;2;2;4;4;2;1;1;8;9;40;36;33;33;35;39;28;28;32;17;338; ;1;12;12;0;0;0;5;5;2,5;2,75;2,5;4,5;2;5;2,75;3;1
258; ; ;as_rcic3;interview;2;2;2;2;3;2;4;4;3;2;3;3;4;3;4;4;4;3;4;4;4;3;4;4;4;4;5;4;4;4;5;5;4;5;5;4;5;4;5;5;5;4;5;4;4;4;4;5;3;3;4;4;4;3;3;4;4;2;4;4;4;4;4;5;5;4;5;4;4;4;5;4;5;5;5;4;4;5;5;5;5;5;4;4;5;4;4;5;5;4;4;4;4;5;5;4;2;1;1;20;23;51;37;31;29;30;35;37;36;32;10;371; ;1;12;12;0;0;0;3;3;3,5;3,5;4,25;4,25;4,75;5;4,5;4;3
266; ; ;as_rcic3;interview;4;2;3;3;3;4;3;3;3;3;3;5;3;4;4;3;3;3;3;4;4;3;3;3;3;2;3;2;3;3;3;4;4;3;3;2;3;2;3;3;3;3;3;3;2;3;3;2;3;3;4;3;3;3;3;3;4;3;3;4;3;4;4;3;3;3;3;3;4;3;3;4;4;4;2;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;2;3;3;3;2;1;2;10;16;31;24;25;28;22;29;28;25;17;5;260; ;1;12;12;0;0;0;15;15;3,25;3,25;3,5;3,25;3,25;3;3;2,75;1
270; ; ;as_rcic3;interview;2;3;4;3;2;3;3;4;4;3;3;2;3;4;4;3;3;3;5;4;4;3;2;4;2;2;3;2;3;4;3;3;4;4;3;3;3;3;4;3;3;3;3;3;2;2;3;2;2;2;3;2;3;5;3;4;2;4;2;3;3;4;4;4;4;3;2;4;4;4;3;4;2;2;2;2;2;3;2;4;3;4;2;2;2;2;1;3;2;3;2;2;2;3;3;3;2;1;1;6;23;43;39;41;32;35;32;35;33;32;12;363; ;1;12;12;0;0;0;3;3;2,25;3,5;3,75;3,25;2;3;2;2,25;2
274; ; ;as_rcic3;interview;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;1;2;3;8;16;13;10;9;8;11;10;12;19;5;124; ;1;12;12;0;0;0;78;78;3;3;3;3;3;3;3;3;2
277; ; ;as_rcic3;interview;3;3;3;4;3;4;4;4;4;4;3;4;2;2;2;3;3;3;3;4;4;3;3;2;3;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;2;2;4;3;3;4;4;4;4;4;4;4;4;4;3;2;3;2;2;3;2;3;2;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;3;2;2;2;2;2;1;1;37;29;52;45;28;21;21;29;22;34;31;50;399; ;1;12;12;0;0;0;4;4;3,5;4;2,5;2,5;3;3;2;2,25;3
280; ; ;as_rcic3;interview;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;-9;3;2;2;3;3;2;3;2;2;2;2;3;3;3;3;2;3;2;2;3;3;3;3;3;4;4;3;4;4;4;4;2;3;2;2;2;3;3;2;2;3;2;3;3;2;2;2;3;3;2;3;2;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;2;2;2;2;2;3;3;2;2;3;2;2;2;1;1;18;57;72;37;54;40;34;30;40;30;37;39;450; ;1;12;12;1;1;20;0;20;2,25;2,5;2,25;2,5;4;4;2;2,5;2
284; ; ;as_rcic3;interview;1;1;1;2;1;1;1;2;2;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1;4;5;4;3;4;5;-9;4;4;4;5;4;2;2;1;2;2;1;1;2;3;2;1;4;2;1;2;2;2;2;-9;1;2;1;1;4;-9;4;3;4;3;4;3;3;4;2;3;5;4;4;4;5;5;5;4;5;5;4;5;5;2;1;2;10;22;36;35;26;69;28;29;30;24;30;42;340; ;1;12;12;3;3;60;1;61;1,75;1,75;1,75;1,66666666666667;3,66666666666667;3,5;4,25;4,75;2
287; ; ;as_rcic3;interview;2;3;4;4;3;3;2;3;4;3;4;3;3;3;3;3;3;2;3;4;2;2;3;4;1;3;3;3;1;4;3;4;5;3;3;3;2;3;2;2;2;1;2;1;1;3;2;4;3;3;3;4;3;4;4;3;4;3;3;2;3;2;3;3;3;2;3;4;3;-9;2;3;1;2;2;2;2;4;4;4;4;1;2;5;4;2;4;4;3;3;3;2;1;4;5;3;2;1;2;3;21;39;39;39;50;42;54;48;83;17;19;397; ;1;12;12;1;1;20;8;28;3,25;3,75;2,75;3;1,75;4;3,5;2,25;1
290; ; ;as_rcic3;interview;3;3;4;3;3;3;3;4;4;3;3;3;4;4;3;3;3;4;3;4;4;3;2;4;3;4;4;3;3;3;3;4;4;3;3;4;3;4;4;4;3;3;3;3;4;3;3;4;3;4;4;3;3;4;3;4;4;3;3;4;3;4;4;3;3;3;3;3;4;3;3;4;3;4;4;3;3;3;3;3;4;3;3;4;3;4;4;4;3;3;3;4;3;3;3;3;2;1;2;5;35;32;25;21;20;19;21;23;20;22;10;253; ;1;12;12;0;0;0;15;15;3,5;3,75;3,5;3,25;3,5;3,25;3,75;3,25;2
297; ; ;as_rcic3;interview;2;2;2;2;2;3;3;4;4;2;3;3;2;3;-9;3;3;4;4;4;4;3;3;4;4;4;3;4;4;4;4;4;4;3;4;4;3;4;4;4;4;4;4;5;5;3;4;4;2;3;3;3;3;4;3;4;4;2;3;3;3;2;3;3;3;4;4;4;4;3;3;4;2;2;2;3;3;-9;3;4;4;2;3;4;3;4;4;3;3;-9;4;4;4;2;4;4;2;1;1;27;18;48;41;44;41;39;47;46;51;30;16;448; ;1;12;12;3;3;60;0;60;2,75;3,75;2,75;4;2,25;3,66666666666667;3,5;4;3
298; ; ;as_rcic3;interview;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;5;4;4;4;4;-9;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;-9;4;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;3;3;4;4;4;2;1;2;5;27;18;12;19;18;19;26;18;21;30;17;230; ;1;12;12;2;2;40;22;62;4;4;3,5;4;4,25;4;4;3,5;2
306; ; ;as_rcic3;interview;2;2;2;3;2;3;3;3;2;3;4;3;3;3;3;3;4;3;4;3;4;4;4;3;4;3;4;4;4;3;4;4;4;3;4;4;3;3;4;3;4;3;3;3;2;3;4;4;3;3;3;3;2;2;3;3;3;3;2;2;3;3;4;4;4;3;4;4;4;3;3;4;4;3;3;3;3;4;3;3;3;4;4;4;4;3;4;4;4;3;2;2;2;3;3;4;2;1;1;9;20;50;41;45;48;44;63;43;71;24;16;429; ;1;12;12;0;0;0;0;0;3;2,75;3,5;3,75;3,25;3,25;3,75;2,25;1
309; ; ;as_rcic3;interview;3;3;2;3;2;3;3;2;3;3;2;3;5;5;5;5;5;5;5;5;5;5;5;5;3;3;3;3;3;3;3;3;3;3;3;3;5;4;4;4;4;3;4;4;3;4;3;4;3;2;2;2;2;2;2;2;2;3;2;3;4;4;4;3;4;4;4;3;4;4;3;4;2;2;2;2;2;2;2;2;2;3;2;3;4;4;4;4;4;3;4;4;4;4;4;4;2;1;1;12;30;62;37;18;39;37;25;37;33;25;28;383; ;1;12;12;0;0;0;3;3;2,25;2;3,75;3,75;2;2;4;3,75;3
313; ; ;as_rcic3;interview;3;4;4;3;4;4;4;3;3;4;4;5;4;4;5;5;3;3;3;4;3;4;3;3;3;4;4;4;5;3;2;3;3;2;3;4;4;4;4;5;3;5;5;3;4;3;4;4;5;4;4;3;4;3;4;4;5;2;4;3;4;4;3;3;4;5;5;4;4;4;5;4;3;3;4;3;4;3;4;4;4;4;3;4;5;4;2;4;4;4;5;4;5;4;4;5;2;1;2;3;11;24;48;38;103;62;110;16;63;13;17;314; ;1;12;12;0;0;0;17;17;4;4;3,5;4,5;3,25;3,75;3,75;4,5;3
318; ; ;as_rcic3;interview;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;3;2;2;3;2;2;3;2;2;4;2;2;2;2;2;2;2;2;2;-9;2;2;1;1;1;1;1;1;1;1;1;1;1;1;4;3;4;3;4;3;3;3;3;3;3;3;3;2;2;2;2;2;2;3;3;2;2;2;2;1;1;14;24;51;39;26;71;14;21;12;13;45;8;295; ;1;12;12;1;1;20;19;39;2;2;1;1;3,5;3;2,25;2,5;2
322; ; ;as_rcic3;interview;3;4;3;3;4;5;3;3;4;3;3;5;2;3;3;3;2;4;5;5;5;4;3;3;3;4;4;3;3;4;4;3;4;3;3;5;2;3;5;3;4;4;2;4;4;4;3;3;3;4;3;3;3;4;2;4;4;3;3;3;2;2;2;2;3;4;4;5;4;4;3;3;3;3;4;3;3;4;4;3;4;3;3;4;2;4;3;3;3;3;2;2;2;4;3;-9;2;1;2;32;17;54;46;43;42;40;49;39;38;26;29;455; ;1;12;12;1;1;20;0;21;3,25;3,5;2;4,25;3,25;3,75;3;2,25;3
325; ; ;as_rcic3;interview;3;2;2;2;2;4;4;4;3;1;4;3;4;3;4;5;4;5;4;5;5;4;5;5;1;1;1;1;1;5;2;3;5;2;1;5;2;2;2;1;2;3;4;4;4;1;4;4;1;1;1;1;1;5;3;4;4;4;1;1;2;3;3;4;4;5;5;5;4;2;3;5;1;1;1;1;1;5;4;5;4;5;1;5;4;3;3;4;5;5;4;4;5;3;5;5;2;1;1;32;38;34;26;23;25;21;26;22;21;15;13;296; ;1;12;12;0;0;0;9;9;1;4;3;4,75;1;4,5;3,5;4,5;3
339; ; ;as_rcic3;interview;2;3;3;4;2;3;3;2;2;4;3;4;4;3;4;4;3;4;4;4;4;4;4;4;4;4;4;3;4;3;4;4;3;3;3;4;4;2;4;2;3;4;4;4;5;3;3;4;4;4;3;2;2;4;4;5;4;4;3;4;4;3;3;3;3;4;3;4;4;2;4;4;2;2;3;2;3;3;2;2;4;4;2;2;4;3;4;4;3;3;4;3;2;3;4;4;2;1;2;41;22;50;56;56;47;51;45;47;50;61;16;503; ;1;12;12;0;0;0;0;0;3,25;4,25;3,25;3,75;2,25;2,75;3,75;3;3
342; ; ;as_rcic3;interview;4;4;4;4;4;4;4;4;4;3;2;-9;5;4;3;3;3;3;3;4;2;3;3;5;5;5;5;5;5;5;5;5;5;5;5;4;2;2;2;3;2;4;3;4;1;2;-9;5;5;3;2;5;5;4;5;5;3;5;5;5;3;2;2;2;3;5;4;4;3;2;3;4;5;4;-9;3;3;4;4;2;2;2;2;5;4;4;2;5;3;5;4;4;4;3;3;5;2;1;1;22;26;95;15;70;147;60;168;22;53;27;27;414; ;1;12;12;3;3;60;5;64;3,75;4,25;2,25;4;4;3;3,75;4,25;1
